direction,source,target,prediction,exact_match,source_length,target_length
arabic_to_arabizi,قبض,qabad,qabbid,False,3,5
arabizi_to_arabic,dju3djukke,جعجكة,جعجكة,True,10,5
arabizi_to_arabic,masaalik,مسالك,مسالك,True,8,5
arabizi_to_arabic,ythammin,يثمن,يثمن,True,8,4
arabizi_to_arabic,shaarid,شارد,شارد,True,7,4
arabic_to_arabizi,استحيل,2ista7iil,2ista7li,False,6,9
arabizi_to_arabic,wil3at,ولعت,ولعط,False,6,4
arabic_to_arabizi,ديوك,dyuuk,dyuuk,True,4,5
arabizi_to_arabic,3irqiyye,عرقية,عرقية,True,8,5
arabic_to_arabizi,انقلع,2inqala3,2inqili3,False,5,8
arabizi_to_arabic,ytagmish,يطقمش,يطقمش,True,8,5
arabizi_to_arabic,firaar,فرار,فرار,True,6,4
arabizi_to_arabic,yi3rib,يعرب,يعرب,True,6,4
arabic_to_arabizi,مسواك,miswaak,maswaak,False,5,7
arabizi_to_arabic,2il qutt maa bi7ibb 2illa khunnaaqo,القط مابيحب الا خناقه,اللقط طنه بيح من البيه,False,35,21
arabic_to_arabizi,تأسيس,ta2siis,ta2siis,True,5,7
arabic_to_arabizi,في,fayy,fi,False,2,4
arabic_to_arabizi,موح,moo7,mawwi7,False,3,4
arabizi_to_arabic,ballish,بلش,بلش,True,7,3
arabizi_to_arabic,2iksif,اكسف,اكسف,True,6,4
arabizi_to_arabic,saa7ib mruwwe,صاحب مروة,ساحب ومروة,False,13,9
arabizi_to_arabic,2istaltif,استلطف,استلطف,True,9,6
arabic_to_arabizi,تبني,tabanni,tabni,False,4,7
arabic_to_arabizi,فلل,fallil,fallil,True,3,6
arabic_to_arabizi,حكحكة,y7ak7ake,7ak7ake,False,5,8
arabizi_to_arabic,tura,ترى,طرة,False,4,3
arabizi_to_arabic,faghar,فغر,فغر,True,6,3
arabic_to_arabizi,ترابي,turaabi,taraabi,False,5,7
arabic_to_arabizi,تاريخي,taariikhi,taariikhi,True,6,9
arabizi_to_arabic,marayiil,مراييل,مرايل,False,8,6
arabic_to_arabizi,نطق,nattaq,nattiq,False,3,6
arabic_to_arabizi,متعلم,muta3allim,mit3allim,False,5,10
arabizi_to_arabic,wilaaye,ولاية,ولاية,True,7,5
arabic_to_arabizi,بعثر,ba3tir,ba3tar,False,4,6
arabic_to_arabizi,شتلة,shatle,shatle,True,4,6
arabizi_to_arabic,kaayin,كاين,كاين,True,6,4
arabic_to_arabizi,معطبن,m3atbin,m3atbin,True,5,7
arabic_to_arabizi,شمسي,shamsi,shamsi,True,4,6
arabizi_to_arabic,shaati2,شاطئ,شاطئ,True,7,4
arabizi_to_arabic,2itsatshwa7,اتسكوح,اتسطحوش,False,11,6
arabic_to_arabizi,مبرجل,mbarjil,mbarjil,True,5,7
arabic_to_arabizi,عرش,3arsh,3arrash,False,3,5
arabizi_to_arabic,3itil,عطل,عتل,False,5,3
arabic_to_arabizi,مناهقة,mnaahaqa,minhaaqa,False,6,8
arabic_to_arabizi,دملج,dimlij,damlaj,False,4,6
arabizi_to_arabic,jooze,جوزة,جوزة,True,5,4
arabizi_to_arabic,2idghash,ادغش,ادغش,True,8,4
arabizi_to_arabic,lughad,لغد,لغد,True,6,3
arabic_to_arabizi,عمدا,3amdan,3amada,False,4,6
arabizi_to_arabic,sh3iire,شعيرة,شعيرة,True,7,5
arabic_to_arabizi,مجبص,mjabbasa,mjabbis,False,4,8
arabic_to_arabizi,ينغر,yingharr,yingharr,True,4,8
arabizi_to_arabic,3arraq,عرق,عرق,True,6,3
arabic_to_arabizi,انذاق,2indaaq,2indaaq,True,5,7
arabizi_to_arabic,qaraqiimkarakiim,قراقيم,قراقيم,True,16,6
arabic_to_arabizi,معنى,ma3na,m3anna,False,4,5
arabizi_to_arabic,3aashiq,عاشق,عاشق,True,7,4
arabizi_to_arabic,dja3maz,جعمز,جعمز,True,7,4
arabic_to_arabizi,يمتحن,yimti7in,yimta7in,False,5,8
arabic_to_arabizi,مات بحسرته,maat b7asrito,maati7ib saro,False,10,13
arabizi_to_arabic,mahhad,مهد,مههد,False,6,3
arabizi_to_arabic,2itdjarba7,اتجربح,اتجربح,True,10,6
arabic_to_arabizi,كب العدسات,kabb 2il3adasaat,kabbaal 2idda3asa,False,10,16
arabizi_to_arabic,daghash,دغش,دغش,True,7,3
arabic_to_arabizi,بق,buqq,baqq,False,2,4
arabic_to_arabizi,كن,kann,kann,True,2,4
arabic_to_arabizi,عامر,3aamir,3aamir,True,4,6
arabic_to_arabizi,انفت,2infatt,2infatt,True,4,7
arabic_to_arabizi,ينمرس,yinmiris,yinmiris,True,5,8
arabizi_to_arabic,haddaak,هذاك,هداك,False,7,4
arabizi_to_arabic,yjaawib,يجاوب,يجاوب,True,7,5
arabic_to_arabizi,افرز,2ifriz,2ifriz,True,4,6
arabizi_to_arabic,ta2awwuh,تأوه,تأوه,True,8,4
arabizi_to_arabic,2istamta3,استمتع,استمطع,False,9,6
arabic_to_arabizi,يرهق,yirhiq,yrahhiq,False,4,6
arabizi_to_arabic,7aakam,حاكم,حاكم,True,6,4
arabic_to_arabizi,حلس,7allis,7allis,True,3,6
arabizi_to_arabic,yitna3nash,يتنعنش,يتنعنش,True,10,6
arabic_to_arabizi,خرف,kharrif,kharraf,False,3,7
arabic_to_arabizi,الجدار الحاجز,2iljidaar 2il7aajiz,2iljaddaar 2il7ajiz,False,13,19
arabic_to_arabizi,إذاعة,2izaa3a,2izaa3a,True,5,7
arabizi_to_arabic,nakbe,نكبة,نكبة,True,5,4
arabizi_to_arabic,mtoobiz,مطوبز,مطوبز,True,7,5
arabic_to_arabizi,جيزة,jiize,jiize,True,4,5
arabizi_to_arabic,2itsarraq,اتسرق,اتسرق,True,9,5
arabizi_to_arabic,yirka3,يركع,يركع,True,6,4
arabic_to_arabizi,جامعي,jaami3i,jaamii3,False,5,7
arabic_to_arabizi,طامع,taami3,taami3,True,4,6
arabizi_to_arabic,qaati3 2irrasan,قاطع الرسن,قاطع الراسن,False,15,10
arabic_to_arabizi,شعبي,sha3bi,sha3bi,True,4,6
arabizi_to_arabic,y7aashir,يحاشر,يحاشر,True,8,5
arabizi_to_arabic,yista7mid,يستحمض,يستحمض,True,9,6
arabizi_to_arabic,sijin,سجن,سجن,True,5,3
arabizi_to_arabic,fitan,فتن,فتن,True,5,3
arabic_to_arabizi,أسس,2usus,2assis,False,3,5
arabic_to_arabizi,استخف,2istakhiff,2istakhaf,False,5,10
arabic_to_arabizi,منحدر,mun7adir,min7idir,False,5,8
arabic_to_arabizi,حميط,7amiit,7amiit,True,4,6
arabizi_to_arabic,yittaqqas,يتطقس,يتطقس,True,9,5
arabizi_to_arabic,2itnaffaz,اتنفذ,اتنفذ,True,9,5
arabizi_to_arabic,taffah,تفه,طفه,False,6,3
arabizi_to_arabic,waarib,وارب,وارب,True,6,4
arabic_to_arabizi,تبحبح,tba7ba7,tba7ba7,True,5,7
arabic_to_arabizi,عفة,3iffe,3affe,False,3,5
arabic_to_arabizi,اشتبك,2ishtabak,2ishtabik,False,5,9
arabic_to_arabizi,ينهض,yinhad,yinhadd,False,4,6
arabizi_to_arabic,tawwii3,طويع,تويع,False,7,4
arabizi_to_arabic,natnata,نطنطة,نتات,False,7,5
arabic_to_arabizi,ينفسن,ynafsin,yinfinis,False,5,7
arabic_to_arabizi,بزاز,bzaaz,bazzaaz,False,4,5
arabizi_to_arabic,yiddalghas,يتدلغص,يتدلغص,True,10,6
arabizi_to_arabic,kheer,خير,خير,True,5,3
arabic_to_arabizi,انتقم,2intaqam,2intiqim,False,5,8
arabic_to_arabizi,صوعان,suu3aan,suu3aan,True,5,7
arabizi_to_arabic,miritzi,مرتزي,مرتزي,True,7,5
arabizi_to_arabic,libis ta7taani,لبس تحتاني,لبس طحين,False,14,10
arabic_to_arabizi,يناهد,ynaahid,ynaahid,True,5,7
arabizi_to_arabic,jaay 3attariiq,جاي عالطريق,جايعت رقي,False,14,11
arabic_to_arabizi,جعر,ja3ar,ja33ar,False,3,5
arabic_to_arabizi,التحق,2ilti7iq,2ilti7iq,True,5,8
arabic_to_arabizi,سيلان,sayalaan,siilaan,False,5,8
arabizi_to_arabic,ghathbara,غثبرة,غثبرة,True,9,5
arabic_to_arabizi,يتبهمن,yitbahman,yitbahman,True,6,9
arabizi_to_arabic,7arraf,حرف,حرف,True,6,3
arabizi_to_arabic,makhaaliiq,مخاليق,مخاليق,True,10,6
arabic_to_arabizi,ناطف,naataf,naatif,False,4,6
arabizi_to_arabic,mjazziz,مجزز,مجزز,True,7,4
arabizi_to_arabic,wuzaraa2,وزراء,وزراء,True,8,5
arabic_to_arabizi,انفصال,2infisaal,2infisaal,True,6,9
arabizi_to_arabic,khajjil,خجل,خجل,True,7,3
arabic_to_arabizi,ينطرد,yintirid,yintirid,True,5,8
arabizi_to_arabic,2inshaqqat 2il2ard wubal3ato,انشقت الأرض وبلعته,انشق العطوب الأرض,False,28,18
arabizi_to_arabic,2inqatal,انقتل,انقطل,False,8,5
arabic_to_arabizi,ممزوع,mamzuu3,mamzuu3,True,5,7
arabizi_to_arabic,ba33aj,بعج,بعج,True,6,3
arabic_to_arabizi,عوقي,3awqi,3awqi,True,4,5
arabizi_to_arabic,shi7de,شحذة,شحدة,False,6,4
arabic_to_arabizi,ألغاز,2alghaaz,2aghlaaz,False,5,8
arabic_to_arabizi,طناطيف,tanaatiif,tanaatiif,True,6,9
arabic_to_arabizi,يشطشط,yshatshit,yshatshit,True,5,9
arabic_to_arabizi,جهل,jahhal,jahhal,True,3,6
arabizi_to_arabic,yaakhud 3azaa,ياخذ عزا,زاخد عايز,False,13,8
arabic_to_arabizi,يابس,yaabis,yaabis,True,4,6
arabic_to_arabizi,ستايل,staayl,stayaal,False,5,6
arabizi_to_arabic,2ukhtur,اخطر,اخطر,True,7,4
arabizi_to_arabic,shuufaani,شوفاني,شوفاني,True,9,6
arabizi_to_arabic,faashil,فاشل,فاشل,True,7,4
arabizi_to_arabic,yisda7,يسدح,يسدح,True,6,4
arabizi_to_arabic,mghaawaze,مغاوزة,مغاوزة,True,9,6
arabic_to_arabizi,اركز,2irkaz,2irkuz,False,4,6
arabic_to_arabizi,قرطفة,qartafe,qartafe,True,5,7
arabizi_to_arabic,qass,قص,قص,True,4,2
arabizi_to_arabic,dawwad,دود,دود,True,6,3
arabic_to_arabizi,شملة,shamle,shamle,True,4,6
arabizi_to_arabic,tqkashshil 3a7aalha,تقشل عحالها,تقش علحاله,False,19,11
arabizi_to_arabic,2intiqid,انتقد,انتقد,True,8,5
arabizi_to_arabic,tna3nash,تنعنش,تنعنش,True,8,5
arabic_to_arabizi,نيك,niik,nayyik,False,3,4
arabizi_to_arabic,ma3rife,معرفة,معرفة,True,7,5
arabic_to_arabizi,انسطل,2insitil,2insitil,True,5,8
arabizi_to_arabic,qayluule,قيلولة,قلولة,False,8,6
arabizi_to_arabic,yiftiqid,يفتقد,يفتقد,True,8,5
arabizi_to_arabic,ykhayyib,يخيب,يخيب,True,8,4
arabic_to_arabizi,قواوير,qkawaawiir,qawawiir,False,6,10
arabic_to_arabizi,خروج,khruuj,kharwaj,False,4,6
arabic_to_arabizi,برضاي عليك,biridaay 3aleek,baraayi3 2ilkeed,False,10,15
arabic_to_arabizi,حلال عليك,7alaal 3aleek,7alaal 3aleek,True,9,13
arabizi_to_arabic,tsaddaqtsadda2,تصدق,تسدق,False,14,4
arabizi_to_arabic,bawwis,بوس,بوس,True,6,3
arabizi_to_arabic,2ifta7,افتح,افتح,True,6,4
arabizi_to_arabic,latwash,لطوش,لطوش,True,7,4
arabic_to_arabizi,تمايع,tmaaya3,tamaayi3,False,5,7
arabic_to_arabizi,مرمط,marmat,mrammit,False,4,6
arabizi_to_arabic,7aqqaani,حقاني,حقاني,True,8,5
arabizi_to_arabic,mitdjadhmir,متجذمر,متجذمر,True,11,6
arabizi_to_arabic,3askir,عسكر,عسكر,True,6,4
arabic_to_arabizi,تبطح,tbatta7,tbatta7,True,4,7
arabizi_to_arabic,2i7baat,إحباط,احبط,False,7,5
arabizi_to_arabic,2ista3aar,استعار,استعار,True,9,6
arabizi_to_arabic,yin7asir,ينحسر,ينحصر,False,8,5
arabic_to_arabizi,مراسل,muraasil,maraasil,False,5,8
arabic_to_arabizi,مداواة,mudaawa,mdawwaat,False,6,7
arabic_to_arabizi,جد,jidd,jadd,False,2,4
arabic_to_arabizi,جميل,jamiil,jamiil,True,4,6
arabic_to_arabizi,قلب,qalib,qallib,False,3,5
arabic_to_arabizi,استورد,2istawrad,2istawdir,False,6,9
arabic_to_arabizi,كتابة,ktaabe,kattaabe,False,5,6
arabizi_to_arabic,muud,مود,مود,True,4,3
arabic_to_arabizi,غلي قلبي,ghili qalbi,ghalli qalbi,False,8,11
arabic_to_arabizi,مخه نظيف,mukhkho ndiif,mukhkho nazifi,False,8,13
arabic_to_arabizi,يدروخ,ydarwikh,ydoorikh,False,5,8
arabizi_to_arabic,faadi,فاضي,فادي,False,5,4
arabic_to_arabizi,ونكر,wankir,wankar,False,4,6
arabic_to_arabizi,يميل,ymayyil,ymiil,False,4,7
arabizi_to_arabic,yikbis,يكبس,يكبس,True,6,4
arabic_to_arabizi,بط,batt,batt,True,2,4
arabic_to_arabizi,اندفس,2indifis,2indafas,False,5,8
arabizi_to_arabic,t7atfal,حتفل,تحتفل,False,7,4
arabizi_to_arabic,yta77in,يطحن,يطحن,True,7,4
arabic_to_arabizi,مرن,marrin,marrin,True,3,6
arabizi_to_arabic,ghyuum,غيوم,غيوم,True,6,4
arabizi_to_arabic,saami3,سامع,سامع,True,6,4
arabic_to_arabizi,اشقح,2ishqa7,2ishqa7,True,4,7
arabizi_to_arabic,raas 2ilkoom,راس الكوم,راس الكوم,True,12,9
arabizi_to_arabic,summ,صم,سم,False,4,2
arabic_to_arabizi,قيش,qayyash,qayyish,False,3,7
arabizi_to_arabic,bardiyye,بردية,بردية,True,8,5
arabic_to_arabizi,يستحي,yisti7i,yista7i,False,5,7
arabic_to_arabizi,ميال,mayyaal,mayaal,False,4,7
arabic_to_arabizi,سماط,smaat,samaat,False,4,5
arabizi_to_arabic,2akhan,أكهن,أخن,False,6,4
arabic_to_arabizi,قابر أهله,qaabir 2ahlo,qaabir 2ahalo,False,9,12
arabic_to_arabizi,يلاقي,ylaaqi,ylaaqi,True,5,6
arabizi_to_arabic,mustawa,مستوى,مستاوى,False,7,5
arabizi_to_arabic,najjim,نجم,نجم,True,6,3
arabizi_to_arabic,ykibb,يكب,يكب,True,5,3
arabizi_to_arabic,thaajam,تهاجم,تهاجم,True,7,5
arabic_to_arabizi,يحيد,y7iid,y7ayyid,False,4,5
arabizi_to_arabic,3irsaan,عرسان,عرسان,True,7,5
arabic_to_arabizi,مسخ,massikh,massakh,False,3,7
arabic_to_arabizi,انضبع,2indaba3,2indaba3,True,5,8
arabic_to_arabizi,ينسق,ynassiq,yinsaqq,False,4,7
arabic_to_arabizi,ينسلق,yinsiliq,yinsiliq,True,5,8
arabizi_to_arabic,zaghghar mukhkho,صغر مخه,زغه رمخه,False,16,7
arabic_to_arabizi,ينوصف,yinwisif,ynaswif,False,5,8
arabic_to_arabizi,مشلع,mshalla3,mshalli3,False,4,8
arabic_to_arabizi,مهربج,mharbij,mharbidj,False,5,7
arabic_to_arabizi,أيد,2ayyid,2ayyad,False,3,6
arabizi_to_arabic,libis 2ilbalaata,لبس البلاطة,لبس البطة,False,16,11
arabic_to_arabizi,مطعم,mat3am,mta33im,False,4,6
arabizi_to_arabic,yitla3 3aqabri,يطلع عقبري,يتلعق عرب,False,14,10
arabizi_to_arabic,hamaj,همج,همج,True,5,3
arabic_to_arabizi,ابن نعمة,2ibin ni3me,2ibnin 3ame,False,8,11
