source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket,source_column
فاض,faad,faad,True,3,4,0-9,0-9,arabic_stripped
تحفة,tu7fe,ta7fe,False,4,5,0-9,0-9,arabic_stripped
انجرد,2injirid,2injarad,False,5,8,0-9,0-9,arabic_stripped
تقهوى,tqahwatgahwa,tqahwa,False,5,12,0-9,10-19,arabic_stripped
لا رقيب ولا حسيب,laa raqiib wala 7asiib,laabir qabil wa7asi,False,16,22,10-19,20-29,arabic_stripped
اعتقد,2i3taqad,2i3tiqid,False,5,8,0-9,0-9,arabic_stripped
جاع,jaa3,jaa3,True,3,4,0-9,0-9,arabic_stripped
يقنع,yiqni3,yiqna3,False,4,6,0-9,0-9,arabic_stripped
استضرط,2istadrit,2istadrat,False,6,9,0-9,0-9,arabic_stripped
يتف,ytiff,ytiff,True,3,5,0-9,0-9,arabic_stripped
كلمة,kilme,kalme,False,4,5,0-9,0-9,arabic_stripped
إنعاش,2in3aash,2in3aash,True,5,8,0-9,0-9,arabic_stripped
بوشة ملح,booshit mili7,boosh mil7al,False,8,13,0-9,10-19,arabic_stripped
تناسل,tnaasal,tnaasal,True,5,7,0-9,0-9,arabic_stripped
ذهب,zahab,dahhib,False,3,5,0-9,0-9,arabic_stripped
تنصل,tnassal,tnassal,True,4,7,0-9,0-9,arabic_stripped
انغز,2unghuz,2inghazz,False,4,7,0-9,0-9,arabic_stripped
مطبع,mtabbi3,mtabbi3,True,4,7,0-9,0-9,arabic_stripped
زيارة,ziyaara,zyaara,False,5,7,0-9,0-9,arabic_stripped
حلق,7allaq,7alliq,False,3,6,0-9,0-9,arabic_stripped
خدر,khaddir,khaddar,False,3,7,0-9,0-9,arabic_stripped
مشفشف,mshafshaf,mshafshif,False,5,9,0-9,0-9,arabic_stripped
اختشى,2ikhtishi,2ikhtasha,False,5,9,0-9,0-9,arabic_stripped
أقتب,2aqtab,2aqtab,True,4,6,0-9,0-9,arabic_stripped
تقارير,taqaariir,taqaariir,True,6,9,0-9,0-9,arabic_stripped
زكام,zukaam,zakaam,False,4,6,0-9,0-9,arabic_stripped
مكمل,mkammil,mkammil,True,4,7,0-9,0-9,arabic_stripped
توتوت,twatwat,twatwat,True,5,7,0-9,0-9,arabic_stripped
مشرش,msharrish,msharrish,True,4,9,0-9,0-9,arabic_stripped
حدادة,7daade,7addaade,False,5,6,0-9,0-9,arabic_stripped
مفبرك,mfabrak,mfabrik,False,5,7,0-9,0-9,arabic_stripped
خان العشرة,khaan 2il3ishre,khaanit 2ishsha3ra,False,10,15,10-19,10-19,arabic_stripped
محذر,m7azzir,m7azzir,True,4,7,0-9,0-9,arabic_stripped
طلهينة,talhiine,talhiine,True,6,8,0-9,0-9,arabic_stripped
تلقوج,tlaqwaj,tlaqwadj,False,5,7,0-9,0-9,arabic_stripped
عبلاطة,3a blata,3ablaata,False,6,8,0-9,0-9,arabic_stripped
بغمضة عين,bighamdit 3een,bghamdame 3ini,False,9,14,0-9,10-19,arabic_stripped
مذابح,madaabi7,madaabi7,True,5,8,0-9,0-9,arabic_stripped
من ريحة,min rii7it,min rii7a,False,7,10,0-9,10-19,arabic_stripped
تليف,tlayyaf,taliif,False,4,7,0-9,0-9,arabic_stripped
أوادم,2awaadim,2awaadim,True,5,8,0-9,0-9,arabic_stripped
منوقر,mnooqir,mnooqir,True,5,7,0-9,0-9,arabic_stripped
قرصة,qarsa,qarsa,True,4,5,0-9,0-9,arabic_stripped
عطب,3attab,3attib,False,3,6,0-9,0-9,arabic_stripped
عسلي,3asali,3asli,False,4,6,0-9,0-9,arabic_stripped
نميمة,namiime,namiime,True,5,7,0-9,0-9,arabic_stripped
بسابيس,basaabiis,basaabiis,True,6,9,0-9,0-9,arabic_stripped
نيل,niil,nayyil,False,3,4,0-9,0-9,arabic_stripped
خير,khayyar,khayyar,True,3,7,0-9,0-9,arabic_stripped
قبة,qubbe,qabbe,False,3,5,0-9,0-9,arabic_stripped
شفيع,shafii3,shafii3,True,4,7,0-9,0-9,arabic_stripped
يغرق,yighraq,ygharriq,False,4,7,0-9,0-9,arabic_stripped
اتغابى,2itghaaba,2itghaaba,True,6,9,0-9,0-9,arabic_stripped
ركض,rakad,rakkid,False,3,5,0-9,0-9,arabic_stripped
لقف,laqaf,laqqaf,False,3,5,0-9,0-9,arabic_stripped
تعاريف,ta3aariif,ta3aariif,True,6,9,0-9,0-9,arabic_stripped
يشخت,yishkhat,yshakhkhit,False,4,8,0-9,0-9,arabic_stripped
ارأس,2ir2as,2ir2as,True,4,6,0-9,0-9,arabic_stripped
اتمسك,2itmassak,2itmassak,True,5,9,0-9,0-9,arabic_stripped
هذرب,hadhrib,hadhrab,False,4,7,0-9,0-9,arabic_stripped
اتخونق,2itkhoona2,2itkhoona2,True,6,10,0-9,10-19,arabic_stripped
رقص,raqas,raqqis,False,3,5,0-9,0-9,arabic_stripped
إيده والكف,2iido wilkaf,2iido wil2ifik,False,10,12,10-19,10-19,arabic_stripped
خويتمة,khweetme,khweetme,True,6,8,0-9,0-9,arabic_stripped
طنش,tannish,tannish,True,3,7,0-9,0-9,arabic_stripped
خافق,khaafi2,khaafiq,False,4,7,0-9,0-9,arabic_stripped
سبردحة,sabarda7a,sabrada7a,False,6,9,0-9,0-9,arabic_stripped
دواهي,dawaahi,dawaahi,True,5,7,0-9,0-9,arabic_stripped
اعلو,2i3lu,2i3lu,True,4,5,0-9,0-9,arabic_stripped
يتنافس,yitnaafas,yitnaafas,True,6,9,0-9,0-9,arabic_stripped
اوشم,2uushim,2uushim,True,4,7,0-9,0-9,arabic_stripped
يتنمر,yitnammar,yitnammar,True,5,9,0-9,0-9,arabic_stripped
دموع الفرح,dmuu3 2ilfara7,dammuu3 2ilfar7,False,10,14,10-19,10-19,arabic_stripped
أبو نص لسان,2abu nuss lsaan,2abu nusul 2asan,False,11,15,10-19,10-19,arabic_stripped
يثور,ysuur,ythawwir,False,4,5,0-9,0-9,arabic_stripped
برود,buruud,barwid,False,4,6,0-9,0-9,arabic_stripped
يتزين,yitzayyan,yitzayyan,True,5,9,0-9,0-9,arabic_stripped
يرتد,yirtadd,yirtadd,True,4,7,0-9,0-9,arabic_stripped
قطوم,qattuum,qatwam,False,4,7,0-9,0-9,arabic_stripped
رمادي,ramaadi,ramaadi,True,5,7,0-9,0-9,arabic_stripped
يلقب,ylaqqib,ylaqqib,True,4,7,0-9,0-9,arabic_stripped
يجلغف,ydjalghif,yjalghif,False,5,9,0-9,0-9,arabic_stripped
إعجاز,2i3jaaz,2i3jaaz,True,5,7,0-9,0-9,arabic_stripped
ربرب,rabrib,rabrab,False,4,6,0-9,0-9,arabic_stripped
مقبول,maqbuul,maqbuul,True,5,7,0-9,0-9,arabic_stripped
مزعل,mza33il,mza33il,True,4,7,0-9,0-9,arabic_stripped
تلطيش,taltiish,taltiish,True,5,8,0-9,0-9,arabic_stripped
اتقبص,yitqabbas,2itqassab,False,5,9,0-9,0-9,arabic_stripped
اتواطى,2itwaata,2itwaata,True,6,8,0-9,0-9,arabic_stripped
اعلق,2i3laq,2i3liq,False,4,6,0-9,0-9,arabic_stripped
كبابيت,kabaabiit,kabaabiit,True,6,9,0-9,0-9,arabic_stripped
اصقل,2isqil,2usqul,False,4,6,0-9,0-9,arabic_stripped
منشكح,minshiki7,minshiki7,True,5,9,0-9,0-9,arabic_stripped
وصلة,wasle,wasle,True,4,5,0-9,0-9,arabic_stripped
رياح,2iriyaa7,ryaa7,False,4,8,0-9,0-9,arabic_stripped
حكاية,7kaaye,7akkaaye,False,5,6,0-9,0-9,arabic_stripped
ضرط,darat,darrit,False,3,5,0-9,0-9,arabic_stripped
طقطق,taqtiq,taqtiq,True,4,6,0-9,0-9,arabic_stripped
آزر,2aazir,2aazar,False,3,6,0-9,0-9,arabic_stripped
يزقرق,yzaqriq,yzaqriq,True,5,7,0-9,0-9,arabic_stripped
نكرة,nakira,nakra,False,4,6,0-9,0-9,arabic_stripped
تفخفخ,tfakhfakh,tfakhfakh,True,5,9,0-9,0-9,arabic_stripped
عدم عقله,3adam 3aqlo,3add qalo,False,8,11,0-9,10-19,arabic_stripped
عضو,3udu,3adu,False,3,4,0-9,0-9,arabic_stripped
يجسم,yjassim,yjassim,True,4,7,0-9,0-9,arabic_stripped
تعايش,ta3aayush,ta3aayish,False,5,9,0-9,0-9,arabic_stripped
ينحش,yin7ashsh,yin7ashsh,True,4,9,0-9,0-9,arabic_stripped
اتوالف,2itwaalaf,2itwaalaf,True,6,9,0-9,0-9,arabic_stripped
تعلب,t3allab,t3allab,True,4,7,0-9,0-9,arabic_stripped
نقي,naqi,naqi,True,3,4,0-9,0-9,arabic_stripped
بروس,broos,barwis,False,4,5,0-9,0-9,arabic_stripped
عتمة,3atme,3atme,True,4,5,0-9,0-9,arabic_stripped
قرمز,qarmaz,qarmiz,False,4,6,0-9,0-9,arabic_stripped
جلده مكلكل,jildo mkalkil,jallado maklak,False,10,13,10-19,10-19,arabic_stripped
طرطوشة,tartuushe,tartuushe,True,6,9,0-9,0-9,arabic_stripped
يقحف,yiqk7af,yiq7af,False,4,7,0-9,0-9,arabic_stripped
يقنش,yqkannish,yqannish,False,4,9,0-9,0-9,arabic_stripped
سدورة,sduura,sduura,True,5,6,0-9,0-9,arabic_stripped
تفكيك,tafkiik,tafkiik,True,5,7,0-9,0-9,arabic_stripped
يبوبع,yboobi3,yboobi3,True,5,7,0-9,0-9,arabic_stripped
ينغم,yinghamm,yinghamm,True,4,8,0-9,0-9,arabic_stripped
شيمل,sheemil,sheemil,True,4,7,0-9,0-9,arabic_stripped
خس,khiss,khiss,True,2,5,0-9,0-9,arabic_stripped
أسوأ,2aswa2,2aswa2,True,4,6,0-9,0-9,arabic_stripped
يسحب,ysa77ib,yis7ab,False,4,7,0-9,0-9,arabic_stripped
جعيدة,dju3eede,ja3iide,False,5,8,0-9,0-9,arabic_stripped
شخصية,shakhsiyye,shakhsiyye,True,5,10,0-9,10-19,arabic_stripped
تملح,tmalla7,tmalla7,True,4,7,0-9,0-9,arabic_stripped
مبهج,mibhij,mbahhij,False,4,6,0-9,0-9,arabic_stripped
ينخطف,yinkhitif,yinkhitif,True,5,9,0-9,0-9,arabic_stripped
محيرن,m7ayrin,m7ayrin,True,5,7,0-9,0-9,arabic_stripped
شايذ,shaayidh,shaayidh,True,4,8,0-9,0-9,arabic_stripped
بقر,baqqir,baqqar,False,3,6,0-9,0-9,arabic_stripped
لا شغلة ولا مشغلة,laa shaghle wlaa mashghale,laaghish laghlame 2ishshshoole,False,17,26,10-19,20-29,arabic_stripped
اتكور,2itkawwar,2itkawwar,True,5,9,0-9,0-9,arabic_stripped
معارض,m3aarid,mu3aarid,False,5,7,0-9,0-9,arabic_stripped
يي عليه,yii 3alee,yii 3ale,False,7,9,0-9,0-9,arabic_stripped
أفخ,2afkh,2affakh,False,3,5,0-9,0-9,arabic_stripped
درن,darrin,darrin,True,3,6,0-9,0-9,arabic_stripped
متعجرف,muta3ajrif,mit3ajrif,False,6,10,0-9,10-19,arabic_stripped
ملهوف,malhuuf,malhuuf,True,5,7,0-9,0-9,arabic_stripped
نكاشة ذنين,nakkaashit dineen,nakkaashit ziniin,False,10,17,10-19,10-19,arabic_stripped
تناقر,tnaaqar,tnaaqar,True,5,7,0-9,0-9,arabic_stripped
تطفل,2ittaffal,tatfal,False,4,9,0-9,0-9,arabic_stripped
تعاون,ta3aawun,t3aawan,False,5,8,0-9,0-9,arabic_stripped
محق,ma7aq,ma77aq,False,3,5,0-9,0-9,arabic_stripped
جرن,djurun,jarrin,False,3,6,0-9,0-9,arabic_stripped
شرايط,sharaayit,sharaayit,True,5,9,0-9,0-9,arabic_stripped
يفرش,yfarrish,yfarrish,True,4,8,0-9,0-9,arabic_stripped
منخل,munkhul,mnakhkhil,False,4,7,0-9,0-9,arabic_stripped
تجدد,tjaddad,tjaddad,True,4,7,0-9,0-9,arabic_stripped
يجاري,yjaari,yjaari,True,5,6,0-9,0-9,arabic_stripped
يحمس,y7ammis,y7ammis,True,4,7,0-9,0-9,arabic_stripped
وجهه مثل قاع الطنجرة,wijho mitil qaa3 2ittanjara,wijho mitil 3aqirt 2iljane,False,20,27,20-29,20-29,arabic_stripped
سباك,sabbaak,sbaak,False,4,7,0-9,0-9,arabic_stripped
امعط,2im3at,2im3at,True,4,6,0-9,0-9,arabic_stripped
طفش,tafash,taffish,False,3,6,0-9,0-9,arabic_stripped
يتعنطز,yit3antaz,yit3antaz,True,6,9,0-9,0-9,arabic_stripped
نكوف,nkuuf,nukuuf,False,4,5,0-9,0-9,arabic_stripped
مسطوم,mastuum,mastuum,True,5,7,0-9,0-9,arabic_stripped
إذا حظك عظام قرقطه,2idha 7azzak 3daam qariqto,2iza 7aqqat 3adhak maro,False,18,26,10-19,20-29,arabic_stripped
التفح,2iltafa7,2iltifi7,False,5,8,0-9,0-9,arabic_stripped
تكدس,tkaddas,tkaddas,True,4,7,0-9,0-9,arabic_stripped
ينخبط,yinkhibit,yinkhibit,True,5,9,0-9,0-9,arabic_stripped
نيك,niik,nayyik,False,3,4,0-9,0-9,arabic_stripped
خطيتي برقبتك,khatiiti braqibtak,khattiit bruqtak,False,12,18,10-19,10-19,arabic_stripped
يتسابق,yitsaabaq,yitsaabaq,True,6,9,0-9,0-9,arabic_stripped
طاقق شرش الحياء,taaqiq shirsh 2il7aya,taaqq sha2irra7 2ishshayaayi7,False,15,21,10-19,20-29,arabic_stripped
زي,ziyy,zi,False,2,4,0-9,0-9,arabic_stripped
مالح,maali7,maali7,True,4,6,0-9,0-9,arabic_stripped
مفكر,mfakkir,mfakkir,True,4,7,0-9,0-9,arabic_stripped
احتشم,2i7tashim,2i7tasham,False,5,9,0-9,0-9,arabic_stripped
كيف,kayyaf,kayyif,False,3,6,0-9,0-9,arabic_stripped
أجواء,2ajwaa2,2ajwaa2,True,5,7,0-9,0-9,arabic_stripped
يكافح,ykaafi7,ykaafi7,True,5,7,0-9,0-9,arabic_stripped
ابخع,2ibkha3,2ibkha3,True,4,7,0-9,0-9,arabic_stripped
اتسكوح,2itsatshwa7,2itsakwa7,False,6,11,0-9,10-19,arabic_stripped
يشقلب,yshaqlib,yshaqlib,True,5,8,0-9,0-9,arabic_stripped
منح,manni7,manna7,False,3,6,0-9,0-9,arabic_stripped
أنت,2anta,2ant,False,3,5,0-9,0-9,arabic_stripped
بكاش,bakkaash,bikaash,False,4,8,0-9,0-9,arabic_stripped
تسريب,tasriib,tasriib,True,5,7,0-9,0-9,arabic_stripped
إبريق,2ibriiq,2ibriiq,True,5,7,0-9,0-9,arabic_stripped
يتقنع,yitqanna3,yitqanna3,True,5,9,0-9,0-9,arabic_stripped
مخزوق,makhzuuq,makhzuuq,True,5,8,0-9,0-9,arabic_stripped
صاروخي,saaruukhi,saaruukhi,True,6,9,0-9,0-9,arabic_stripped
كثافة,kasaafe,kasaafe,True,5,7,0-9,0-9,arabic_stripped
يفصح,yfassi7,yifsa7,False,4,7,0-9,0-9,arabic_stripped
مزابل,mazaabil,mazaabil,True,5,8,0-9,0-9,arabic_stripped
لمس,lammis,lammis,True,3,6,0-9,0-9,arabic_stripped
مربح,marba7,mrabbi7,False,4,6,0-9,0-9,arabic_stripped
عرقه مرقه,3araqo maraqo,3araqo mroqo,False,9,13,0-9,10-19,arabic_stripped
جروب,gruub,jruub,False,4,5,0-9,0-9,arabic_stripped
مبعجر,mba3jir,mba3jir,True,5,7,0-9,0-9,arabic_stripped
يكرم,ykarrim,yikram,False,4,7,0-9,0-9,arabic_stripped
يقتصد,yiqtisid,yiqtisid,True,5,8,0-9,0-9,arabic_stripped
هاي وجهي,haay wijhi,haay wijhi,True,8,10,0-9,10-19,arabic_stripped
بروش,broosh,barruush,False,4,6,0-9,0-9,arabic_stripped
يعرط,y3arrit,y3arrit,True,4,7,0-9,0-9,arabic_stripped
حفي,7ifi,7affi,False,3,4,0-9,0-9,arabic_stripped
ذبل,dabbal,dabbil,False,3,6,0-9,0-9,arabic_stripped
عطال بطال,3attaal battaal,3attaal baal,False,9,15,0-9,10-19,arabic_stripped
كزدر,kazdir,kazdar,False,4,6,0-9,0-9,arabic_stripped
نهائي,nihaa2i,nahaa2i,False,5,7,0-9,0-9,arabic_stripped
زوبعة الأبيض,zooba3a 2il2abyad,zawba3it 2il2abiid,False,12,17,10-19,10-19,arabic_stripped
قلب,qalb,qallab,False,3,4,0-9,0-9,arabic_stripped
يشبك,yshabbik,yshabbik,True,4,8,0-9,0-9,arabic_stripped
براويز,baraawiiz,baraawiiz,True,6,9,0-9,0-9,arabic_stripped
مظاهر,mazaahir,mazaahir,True,5,8,0-9,0-9,arabic_stripped
يشنشل,yshanshil,yshanshil,True,5,9,0-9,0-9,arabic_stripped
قوانين,qawaaniin,qawaaniin,True,6,9,0-9,0-9,arabic_stripped
زكم,zakkam,zakkam,True,3,6,0-9,0-9,arabic_stripped
يعجز,yi3jaz,y3ajjiz,False,4,6,0-9,0-9,arabic_stripped
حوحي,7oo7i,7oo7i,True,4,5,0-9,0-9,arabic_stripped
ينروي,yinriwi,yinriwi,True,5,7,0-9,0-9,arabic_stripped
يتسلل,yitsallal,yitsallal,True,5,9,0-9,0-9,arabic_stripped
دفور,dfuur,daffuur,False,4,5,0-9,0-9,arabic_stripped
بلغ,balligh,balligh,True,3,7,0-9,0-9,arabic_stripped
قرطلة,qirtalle,qartale,False,5,8,0-9,0-9,arabic_stripped
اعفص,2u3fus,2i3fis,False,4,6,0-9,0-9,arabic_stripped
عرف,3urf,3arrif,False,3,4,0-9,0-9,arabic_stripped
تفسير,tafsiir,tafsiir,True,5,7,0-9,0-9,arabic_stripped
حمش,7amash,7ammish,False,3,6,0-9,0-9,arabic_stripped
اتنعم,2itna33am,2itna33am,True,5,9,0-9,0-9,arabic_stripped
يسخى,yiskha,yiskha,True,4,6,0-9,0-9,arabic_stripped
ينكفت,yinkifit,yinkifit,True,5,8,0-9,0-9,arabic_stripped
يقول,yquul,yqawwil,False,4,5,0-9,0-9,arabic_stripped
يحتحت,y7at7it,y7at7it,True,5,7,0-9,0-9,arabic_stripped
يفضفض,yfadfid,yfadfid,True,5,7,0-9,0-9,arabic_stripped
يشلبك,yshalbik,yshalbik,True,5,8,0-9,0-9,arabic_stripped
انكب,2inkabb,2inkib,False,4,7,0-9,0-9,arabic_stripped
نسي,nassi,nassi,True,3,5,0-9,0-9,arabic_stripped
بطنه دربكة,batno diribakke,batno darake,False,10,15,10-19,10-19,arabic_stripped
عشرين,3ishriin,3ashriin,False,5,8,0-9,0-9,arabic_stripped
دلهم,dalhim,dalham,False,4,6,0-9,0-9,arabic_stripped
اتغدى,2itghadda,2itghadda,True,5,9,0-9,0-9,arabic_stripped
أصل,2assal,2asal,False,3,6,0-9,0-9,arabic_stripped
يوخر,ywakhkhir,ywakhkhir,True,4,9,0-9,0-9,arabic_stripped
تخوث,tkhawwat,tkhawwat,True,4,8,0-9,0-9,arabic_stripped
مكحكح,mka7ki7,mka7ka7,False,5,7,0-9,0-9,arabic_stripped
منجهاتلك,mindjahaatlak,munjahaatl,False,8,13,0-9,10-19,arabic_stripped
يصدع,ysaddi3,yisda3,False,4,7,0-9,0-9,arabic_stripped
رطل,rattal,rattal,True,3,6,0-9,0-9,arabic_stripped
يؤشر,y2ashshir,y2ashshir,True,4,9,0-9,0-9,arabic_stripped
حبة شامة,7abbit shaame,7abbit shaame,True,8,13,0-9,10-19,arabic_stripped
قدر,qadar,qaddar,False,3,5,0-9,0-9,arabic_stripped
اربط لسانك مليح لابيدمي ولا بيقيح,2irbot lsaanak mlii7 laa bidmi wala biqii7,2irbut 2il7asaak miin biluu7 bidakii,False,33,42,30-39,40-49,arabic_stripped
مطبخ,matbakh,mtabbikh,False,4,7,0-9,0-9,arabic_stripped
يدلبح,ydalbi7,ydalbi7,True,5,7,0-9,0-9,arabic_stripped
مسكنة,maskane,maskane,True,5,7,0-9,0-9,arabic_stripped
مصور,musawwir,msawwir,False,4,8,0-9,0-9,arabic_stripped
أربعاء,2arbi3aa2,2arba3aa2,False,6,9,0-9,0-9,arabic_stripped
محرمة,ma7rame,ma7rame,True,5,7,0-9,0-9,arabic_stripped
مغادر,mghaadir,mughaadir,False,5,8,0-9,0-9,arabic_stripped
خون,khawwan,khawwin,False,3,7,0-9,0-9,arabic_stripped
يردم,yurdum,yraddim,False,4,6,0-9,0-9,arabic_stripped
تبكت,tbakkat,tbakkat,True,4,7,0-9,0-9,arabic_stripped
بناني,banaani,banaani,True,5,7,0-9,0-9,arabic_stripped
شقة,shaqqa,shaqqa,True,3,6,0-9,0-9,arabic_stripped
ثعبة,tha3be,tha3be,True,4,6,0-9,0-9,arabic_stripped
لاسع,laasi3,laasi3,True,4,6,0-9,0-9,arabic_stripped
ازغل,2izghil,2izghal,False,4,7,0-9,0-9,arabic_stripped
إجت الدقة براسه,2ijat 2iddaqqa braaso,2ijat 2iddaqqqara bso,False,15,21,10-19,20-29,arabic_stripped
مهتم,muhtamm,mhattim,False,4,7,0-9,0-9,arabic_stripped
جارية,jaariye,jaariyye,False,5,7,0-9,0-9,arabic_stripped
يكعكش,yka3kish,yka3kish,True,5,8,0-9,0-9,arabic_stripped
بكرية,bikriyye,bakriyye,False,5,8,0-9,0-9,arabic_stripped
حزاليط,7azaaliit,7azaaliit,True,6,9,0-9,0-9,arabic_stripped
يشحر,ysha77ir,ysha77ir,True,4,8,0-9,0-9,arabic_stripped
وحياة هالنعمة,wi7yaat hanni3me,wa7iime 2in3ale,False,13,16,10-19,10-19,arabic_stripped
اتعلق,2it3allaq,2it3allaq,True,5,9,0-9,0-9,arabic_stripped
محقة,m7aqq22a,ma7aqqa,False,4,8,0-9,0-9,arabic_stripped
تقليم,taqliim,taqliim,True,5,7,0-9,0-9,arabic_stripped
حباله طويلة,7baalo tawiile,7abaalo tooliyye,False,11,14,10-19,10-19,arabic_stripped
نمر,nammar,nammir,False,3,6,0-9,0-9,arabic_stripped
محتفظ,mu7tafiz,mu7tafiz,True,5,8,0-9,0-9,arabic_stripped
بحور,bu7uur,ba7wir,False,4,6,0-9,0-9,arabic_stripped
ندابة,naddaabe,nadaabe,False,5,8,0-9,0-9,arabic_stripped
افتعل,2ifti3il,2ifta3al,False,5,8,0-9,0-9,arabic_stripped
لسينة,lisseene,lseene,False,5,8,0-9,0-9,arabic_stripped
يخفض,ykhaffid,ykhaffid,True,4,8,0-9,0-9,arabic_stripped
مخاميش,makhaamiish,makhaamiish,True,6,11,0-9,10-19,arabic_stripped
أحكام,2a7kaam,2a7kaam,True,5,7,0-9,0-9,arabic_stripped
فتة,fatte,fatte,True,3,5,0-9,0-9,arabic_stripped
طمع,tammi3,tammi3,True,3,6,0-9,0-9,arabic_stripped
بلقش,balqish,balqash,False,4,7,0-9,0-9,arabic_stripped
مفضل,mfaddil,mfaddil,True,4,7,0-9,0-9,arabic_stripped
عقله بالترس,3aqlo bittars,3aqlo bistar,False,11,13,10-19,10-19,arabic_stripped
مماسك,mamaasik,mamaasik,True,5,8,0-9,0-9,arabic_stripped
أعمق,2a3maq,2a3maq,True,4,6,0-9,0-9,arabic_stripped
يتصهون,yitsahwan,yitsahwan,True,6,9,0-9,0-9,arabic_stripped
يفركش,yfarkish,yfarkish,True,5,8,0-9,0-9,arabic_stripped
سلي,salli,salli,True,3,5,0-9,0-9,arabic_stripped
طور,tawwir,tawwir,True,3,6,0-9,0-9,arabic_stripped
اكرم,2ikram,2ikrim,False,4,6,0-9,0-9,arabic_stripped
يرتاح,yirtaa7,yirtaa7,True,5,7,0-9,0-9,arabic_stripped
اتقيم,2itqayyam,2itqayyam,True,5,9,0-9,0-9,arabic_stripped
شوره من راسه,shooro min raaso,shuur humin sara,False,12,16,10-19,10-19,arabic_stripped
احمد,2i7mid,2i7mid,True,4,6,0-9,0-9,arabic_stripped
اتجنس,2itjannas,2itjannas,True,5,9,0-9,0-9,arabic_stripped
مسمي,msammi,masmi,False,4,6,0-9,0-9,arabic_stripped
اخرف,2ikhraf,2ikhrif,False,4,7,0-9,0-9,arabic_stripped
دفش,daffash,daffish,False,3,7,0-9,0-9,arabic_stripped
يتنهد,yitnahhad,yitnahhad,True,5,9,0-9,0-9,arabic_stripped
قرصة,qarse,qarsa,False,4,5,0-9,0-9,arabic_stripped
جار,jaar,jaar,True,3,4,0-9,0-9,arabic_stripped
يفرق,yifruq,yfarriq,False,4,6,0-9,0-9,arabic_stripped
يلقوا بأيديهم إلى التهلكة,yulqu bi2aydiihum 2ila 2ittahluka,yil2awwa bilakad male,False,25,33,20-29,30-39,arabic_stripped
ألفة,2ulfe,2alfe,False,4,5,0-9,0-9,arabic_stripped
يعسقد,y3asqkid,y3asqid,False,5,8,0-9,0-9,arabic_stripped
مدلدق,mdalda2,mdaldi2,False,5,7,0-9,0-9,arabic_stripped
حاد,7aad,7aad,True,3,4,0-9,0-9,arabic_stripped
نملة,namle,namle,True,4,5,0-9,0-9,arabic_stripped
دلغص,dalghas,dalghis,False,4,7,0-9,0-9,arabic_stripped
اهبش,2ihbish,2ihbish,True,4,7,0-9,0-9,arabic_stripped
حواس,7awaas,7awwaas,False,4,6,0-9,0-9,arabic_stripped
يتشفع,yitshaffa3,yitshaffa3,True,5,10,0-9,10-19,arabic_stripped
صيف,seef,sayyif,False,3,4,0-9,0-9,arabic_stripped
