source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket,source_column
اِنْشِحِط,2inshi7it,2inshi7it,True,9,9,0-9,0-9,arabic_harakat
لَتْغَة,latgha,latgha,True,7,6,0-9,0-9,arabic_harakat
تَزْكِيِة,tazkiye,tazkiye,True,9,7,0-9,0-9,arabic_harakat
نِفْسُه مفتوحَة,nifso maftuu7a,nifso mat7o,False,15,14,10-19,10-19,arabic_harakat
يجَنِّب,yjannib,yjannib,True,7,7,0-9,0-9,arabic_harakat
طَلِّق,talliq,talliq,True,6,6,0-9,0-9,arabic_harakat
اِتْعَمَّم,2it3ammim,2it3ammam,False,10,9,10-19,0-9,arabic_harakat
عَمْداً,3amdan,3amdan,True,7,6,0-9,0-9,arabic_harakat
مُنَظَّمِة,munazzame,munazzame,True,10,9,10-19,0-9,arabic_harakat
يفَنِّن,yfannin,yfannin,True,7,7,0-9,0-9,arabic_harakat
عَصَّم,3assam,3assam,True,6,6,0-9,0-9,arabic_harakat
أَصْهِرِة,2ashira,2ashire,False,9,7,0-9,0-9,arabic_harakat
اِسْتَعْمِي,2ista3mi,2ista3mi,True,11,8,10-19,0-9,arabic_harakat
اِفْزَع,2ifza3,2ifza3,True,7,6,0-9,0-9,arabic_harakat
شَبَّص,shabbas,shabbas,True,6,7,0-9,0-9,arabic_harakat
اِبْتُر,2ubtur,2ibtur,False,7,6,0-9,0-9,arabic_harakat
يِسْقِي,yisqi,yisqi,True,7,5,0-9,0-9,arabic_harakat
مْحَافِظ,m7aafiz,m7aafiz,True,8,7,0-9,0-9,arabic_harakat
عَصِّم,3assim,3assim,True,6,6,0-9,0-9,arabic_harakat
اِسْتَلْقِي,2istalqi,2istalqi,True,11,8,10-19,0-9,arabic_harakat
عَبْقَرِي,3abqari,3abqari,True,9,7,0-9,0-9,arabic_harakat
يطيح,ytii7,ytii7,True,4,5,0-9,0-9,arabic_harakat
تْجَعْمَص,tdja3mas,tdja3mas,True,9,8,0-9,0-9,arabic_harakat
يِفْرِز,yifriz,yifriz,True,7,6,0-9,0-9,arabic_harakat
تْخَالَف,tkhaalaf,tkhaalaf,True,8,8,0-9,0-9,arabic_harakat
مُرُونِة,muruune,muruune,True,8,7,0-9,0-9,arabic_harakat
يطَبِّب,ytabbib,ytabbib,True,7,7,0-9,0-9,arabic_harakat
يُنْثُر,yunthur,yunsur,False,7,7,0-9,0-9,arabic_harakat
اِعْتِقَاد,2i3tiqaad,2i3tiqaad,True,10,9,10-19,0-9,arabic_harakat
يمَلْطِس,ymaltis,ymaltis,True,8,7,0-9,0-9,arabic_harakat
مُشَارِك,mushaarik,mushaarik,True,8,9,0-9,0-9,arabic_harakat
عَالمَوضَة,3al mooda,3alamooda,False,10,9,10-19,0-9,arabic_harakat
كَتَم على نفسي,katam 3ala nafasi,katama3 2il3ana fsi,False,14,17,10-19,10-19,arabic_harakat
تْعَابَط,t3aabat,t3aabat,True,8,7,0-9,0-9,arabic_harakat
يِتْشَلَّح,yitshalla7,yitshalla7,True,10,10,10-19,10-19,arabic_harakat
أَطْلَق,2atlaq,2atlaq,True,7,6,0-9,0-9,arabic_harakat
اِسْتَحْسَن,2ista7san,2ista7san,True,11,9,10-19,0-9,arabic_harakat
إِنْتَتَر,2intatar,2intatar,True,9,8,0-9,0-9,arabic_harakat
رَايِق,raayiq,raayiq,True,6,6,0-9,0-9,arabic_harakat
جِزِع,jizi3,jizi3,True,5,5,0-9,0-9,arabic_harakat
ينَفِّذ,ynaffiz,ynaffid,False,7,7,0-9,0-9,arabic_harakat
تَتْبِيلِة,talbiile,tatbiile,False,10,8,10-19,0-9,arabic_harakat
رُوح مُوت,ruu7 moot,ruu7 muut,False,9,9,0-9,0-9,arabic_harakat
يذِلّ,yzill,yzill,True,5,5,0-9,0-9,arabic_harakat
يِنْوِش,yinwish,yinwish,True,7,7,0-9,0-9,arabic_harakat
رَوِّع,yrawwi3,rawwi3,False,6,7,0-9,0-9,arabic_harakat
اِنْهَلَك,2inhalak,2inhalak,True,9,8,0-9,0-9,arabic_harakat
اُعْرُش,2u3rush,2u3rush,True,7,7,0-9,0-9,arabic_harakat
يجَلْعِم,yjal3im,yjal3im,True,8,7,0-9,0-9,arabic_harakat
يعَفِّر,y3affir,y3affir,True,7,7,0-9,0-9,arabic_harakat
يِزْبِن,yizbin,yizbin,True,7,6,0-9,0-9,arabic_harakat
بِيكِش ذُبَّان,bikishsh dhubbaab,bikiish dunaab,False,14,17,10-19,10-19,arabic_harakat
يِتْشَخْلَع,yitshakhla3,yitshakhla3,True,11,11,10-19,10-19,arabic_harakat
اِسْتَعْرِض,2ista3rid,2ista3rid,True,11,9,10-19,0-9,arabic_harakat
بِسِّة مْغَمْضِة,bisse mghamda,bissit mghamda,False,16,13,10-19,10-19,arabic_harakat
قُطْمِة,qutme,qutme,True,7,5,0-9,0-9,arabic_harakat
اِنْتَصَح,2intasa7,2intasa7,True,9,8,0-9,0-9,arabic_harakat
تْلَيَّس,tlayyas,tlayyas,True,8,7,0-9,0-9,arabic_harakat
زَايِف,zaayif,zaayif,True,6,6,0-9,0-9,arabic_harakat
قَابِل على حَاله,qaabil 3ala 7aalo,qaabil 3ala 7aalo,True,16,17,10-19,10-19,arabic_harakat
عِين قَوِيِّة,3een qawiyye,3iine qooye,False,13,12,10-19,10-19,arabic_harakat
ثُقَب,thuqab,thuqkab,False,5,6,0-9,0-9,arabic_harakat
بيلُق بيلُق,biluqq laqq,byiluq biluq,False,11,11,10-19,10-19,arabic_harakat
اِبْلِيس بيِتْعلَّم مِنُّه,2ibliis bit3allam minno,2ibli sabyi3am min lato,False,26,23,20-29,20-29,arabic_harakat
خَيَّب ظْنُونِي,khayyab zunuuni,khayyab dni,False,15,15,10-19,10-19,arabic_harakat
يْبَلِّغ,yballigh,yballigh,True,8,8,0-9,0-9,arabic_harakat
اِسْتَخْوِن,2istakhwin,2istakhwin,True,11,10,10-19,10-19,arabic_harakat
مُقُر,muqur,muqur,True,5,5,0-9,0-9,arabic_harakat
صَاعِقَة,saa3iqa,saa3iqa,True,8,7,0-9,0-9,arabic_harakat
نَوَّص,nawwas,nawwas,True,6,6,0-9,0-9,arabic_harakat
اِحْتَاط,2i7taat,2i7taat,True,8,7,0-9,0-9,arabic_harakat
نُقُر,nuqur,nuqur,True,5,5,0-9,0-9,arabic_harakat
مِتْدَيِّن,middayyin,middayyin,True,10,9,10-19,0-9,arabic_harakat
جَزِّئ,jazzi2,jazzi2,True,6,6,0-9,0-9,arabic_harakat
طَرْشَق,tarshaq,tarshaq,True,7,7,0-9,0-9,arabic_harakat
عَرْجَا,3arja,3arja,True,7,5,0-9,0-9,arabic_harakat
اِسْتَعْصَى,2ista3sa,2ista3sa,True,11,8,10-19,0-9,arabic_harakat
يلَعْبِك,yla3bik,yla3bik,True,8,7,0-9,0-9,arabic_harakat
مية مرشحة,miit marsha7a,miim rash7a,False,9,13,0-9,10-19,arabic_harakat
رَوحْهَا حِلْوِة,roo7ha 7ilwe,roo7o 2il7iwe,False,16,12,10-19,10-19,arabic_harakat
اِتْبَلَّط,2itballat,2itballat,True,10,9,10-19,0-9,arabic_harakat
قَذِف,qazif,qazif,True,5,5,0-9,0-9,arabic_harakat
اِنْهِرِي,2inhiri,2inhiri,True,9,7,0-9,0-9,arabic_harakat
فَصّ,fass,fass,True,4,4,0-9,0-9,arabic_harakat
بَعْبُول,ba3buul,ba3buul,True,8,7,0-9,0-9,arabic_harakat
ذَرَى,dhara,dhara,True,5,5,0-9,0-9,arabic_harakat
جَلْعِم,jal3im,jal3im,True,7,6,0-9,0-9,arabic_harakat
كَرِّهني عيشتي,karrahni 3iishti,karrahini 3eetishak,False,14,16,10-19,10-19,arabic_harakat
يُخْرُج,yukhruj,yukhruj,True,7,7,0-9,0-9,arabic_harakat
يطَوبِر,toobir,ytoobir,False,7,6,0-9,0-9,arabic_harakat
يسُوء,ysuu2,ysuu2,True,5,5,0-9,0-9,arabic_harakat
مَنْفَذ,manfaz,manfaz,True,7,6,0-9,0-9,arabic_harakat
رُكْبِة,rukbe,rukbe,True,7,5,0-9,0-9,arabic_harakat
مِلْعَقَة مشَلَّحَة,mil3aqa mshalla7a,mil3aqa shammalla7a,False,19,17,10-19,10-19,arabic_harakat
خَوِّف,khawwif,khawwif,True,6,7,0-9,0-9,arabic_harakat
الغَرِيق بْيِتْعَلَّق بِقَشِّة,2ilghariiq byit3allaq biqashshe,2ilgharqi btaqiish bil3aqiish,False,30,31,30-39,30-39,arabic_harakat
اِسْتَضِيف,2istadiif,2istadiif,True,10,9,10-19,0-9,arabic_harakat
مصَابح ممَاسي,2imsaabi7 2immaasi,msaabi7 maasi,False,13,18,10-19,10-19,arabic_harakat
شَبَاب,shabaab,shabaab,True,6,7,0-9,0-9,arabic_harakat
صَرْبَع,sarba3,sarba3,True,7,6,0-9,0-9,arabic_harakat
عَرِيشِة,3ariishe,3ariishe,True,8,8,0-9,0-9,arabic_harakat
قَلِّع,qalli3,qalli3,True,6,6,0-9,0-9,arabic_harakat
يِشْهَد,yishhad,yishhad,True,7,7,0-9,0-9,arabic_harakat
فَرْوِل,farwil,farwil,True,7,6,0-9,0-9,arabic_harakat
ييبَس,yiibas,ybees,False,5,6,0-9,0-9,arabic_harakat
فَكَهَنْجِي,fakahanji,fakahanji,True,11,9,10-19,0-9,arabic_harakat
مَسَاوِيط,masaawiit,masaawiit,True,9,9,0-9,0-9,arabic_harakat
نِجْمُه غَاطِس,nijmo ghaatis,nijmo ghaatis,True,14,13,10-19,10-19,arabic_harakat
علَامة اِسْتِفْهَام,3alaamit 2istifhaam,3alaame 2istimfha,False,19,19,10-19,10-19,arabic_harakat
وَقَّعه بَالحكي,waqqa3o bil7aki,waqqa3 bil7ak,False,15,15,10-19,10-19,arabic_harakat
طَرَارِيح,taraarii7,taraarii7,True,9,9,0-9,0-9,arabic_harakat
عَفِّف,3affif,3affif,True,6,6,0-9,0-9,arabic_harakat
اُقْرُم,2uqrum,2uqrum,True,7,6,0-9,0-9,arabic_harakat
اِنْطِرِد,2intirid,2intirid,True,9,8,0-9,0-9,arabic_harakat
يِنْدِفِش,yindifish,yindifish,True,9,9,0-9,0-9,arabic_harakat
يِدْوِر,yidwir,yidwir,True,7,6,0-9,0-9,arabic_harakat
رَحَم,ra7am,ra7am,True,5,5,0-9,0-9,arabic_harakat
لَحْمِيِّة,la7miyye,la7miyye,True,10,8,10-19,0-9,arabic_harakat
طَفِّح,taffi7,taffi7,True,6,6,0-9,0-9,arabic_harakat
بَلْبِح,balbi7,balbi7,True,7,6,0-9,0-9,arabic_harakat
بقلب المعدة,biglib 2ilmi3de,baqalb 2ilma3de,False,11,15,10-19,10-19,arabic_harakat
عَظْرَت,3adhrat,3adhrat,True,7,7,0-9,0-9,arabic_harakat
ميَّاته عَالنَار,mayyaato 3annaar,mayyaato 3alanar,False,16,16,10-19,10-19,arabic_harakat
مُعَارَضَة,mu3aarada,mu3aarada,True,10,9,10-19,0-9,arabic_harakat
عَمْرَان,3amraan,3amraan,True,8,7,0-9,0-9,arabic_harakat
اِيْأَس,2iiy2as,2iy2as,False,7,7,0-9,0-9,arabic_harakat
قهوِة شَقرَا,qahwe shaqra,qoohit shaqara,False,12,12,10-19,10-19,arabic_harakat
اِتْمَشْدَق,2itmashdaq,2itmashdaq,True,11,10,10-19,10-19,arabic_harakat
كَرْمَش,karmash,karmash,True,7,7,0-9,0-9,arabic_harakat
تَسْرِيح,tasrii7,tasrii7,True,8,7,0-9,0-9,arabic_harakat
اِتْقَشَّف,2itqashshaf,2itqashshaf,True,10,11,10-19,10-19,arabic_harakat
كَوَّر,kawwar,kawwar,True,6,6,0-9,0-9,arabic_harakat
بَنَات,banaat,banaat,True,6,6,0-9,0-9,arabic_harakat
اِنْتِفَاع,2intifaa3,2intifaa3,True,10,9,10-19,0-9,arabic_harakat
عَقِّد,3akkid,3aqqid,False,6,6,0-9,0-9,arabic_harakat
حَوَارِي,7awaari,7awaari,True,8,7,0-9,0-9,arabic_harakat
يِتْدَرَّع,yiddara3,yiddarra3,False,10,8,10-19,0-9,arabic_harakat
وَقِّت,waqqit,waqqit,True,6,6,0-9,0-9,arabic_harakat
حُرّ,7urr,7urr,True,4,4,0-9,0-9,arabic_harakat
يقَزِّز,yqazziz,yqazziz,True,7,7,0-9,0-9,arabic_harakat
اِنْحِطِم,2in7itim,2in7itim,True,9,8,0-9,0-9,arabic_harakat
خُضْرَوَات,khudrawaat,khudrawaat,True,10,10,10-19,10-19,arabic_harakat
فُنْدُق,funduq,funduq,True,7,6,0-9,0-9,arabic_harakat
بَصَّة,bassa,bassa,True,6,5,0-9,0-9,arabic_harakat
اِسْتَوْطَى,2istawta,2istawta,True,11,8,10-19,0-9,arabic_harakat
بَزَّم,bazzam,bazzam,True,6,6,0-9,0-9,arabic_harakat
غَوَايِش,ghawaayish,ghawaayish,True,8,10,0-9,10-19,arabic_harakat
اِقْلِي,2iqli,2iqli,True,7,5,0-9,0-9,arabic_harakat
خُش بطِيزي,khushsh 2ibtiizi,khushsh biizi,False,10,16,10-19,10-19,arabic_harakat
شَدّ بَرَاغِي,shadd baraaghi,shadd baraaghi,True,13,14,10-19,10-19,arabic_harakat
غَلَّث,ghallath,ghallath,True,6,8,0-9,0-9,arabic_harakat
غَنِيمِة,ghaniime,ghaniime,True,8,8,0-9,0-9,arabic_harakat
اِتْصَيَّع,2itsayya3,2itsayya3,True,10,9,10-19,0-9,arabic_harakat
سَحَّج,sa77aj,sa77aj,True,6,6,0-9,0-9,arabic_harakat
يِكْوِي,yikwi,yikwi,True,7,5,0-9,0-9,arabic_harakat
بَرْوِز,barwiz,barwiz,True,7,6,0-9,0-9,arabic_harakat
يِتْنَبَّه,yitnabbah,yitnabbah,True,10,9,10-19,0-9,arabic_harakat
حَاشَر,7aashar,7aashar,True,6,7,0-9,0-9,arabic_harakat
مُحْتَال,mu7taal,mu7taal,True,8,7,0-9,0-9,arabic_harakat
دَارت الشَّمِس,daarat 2ishshams,daarat 2ishshamis,False,14,16,10-19,10-19,arabic_harakat
زَايِغ,zaayigh,zaayigh,True,6,7,0-9,0-9,arabic_harakat
حَشِّر,7ashshir,7ashshir,True,6,8,0-9,0-9,arabic_harakat
اِنْدَمَل,2indamal,2indamal,True,9,8,0-9,0-9,arabic_harakat
أَعْوَاد,2a3waad,2a3waad,True,8,7,0-9,0-9,arabic_harakat
مَاء زَهِر,maa2 zahir,maa zahir,False,10,10,10-19,10-19,arabic_harakat
يلَطِّف,ylattif,ylattif,True,7,7,0-9,0-9,arabic_harakat
فَتَافِيت,fataafiit,fataafiit,True,9,9,0-9,0-9,arabic_harakat
أَئِمِّة,2a2imme,2a2ime,False,8,7,0-9,0-9,arabic_harakat
مْقَرْبِط,mqarbit,mqarbit,True,9,7,0-9,0-9,arabic_harakat
اِعْشَق,2i3shaq,2i3shaq,True,7,7,0-9,0-9,arabic_harakat
مِسْتَقْلِع,mistaqli3,mistaqli3,True,11,9,10-19,0-9,arabic_harakat
مْلَاح,mlaa7,mlaa7,True,6,5,0-9,0-9,arabic_harakat
شَرَاشِير,sharaashiir,sharaashiir,True,9,11,0-9,10-19,arabic_harakat
تَارِيخ,taariikh,taariikh,True,7,8,0-9,0-9,arabic_harakat
زَرْبِيحَة,zarbii7a,zarbii7a,True,10,8,10-19,0-9,arabic_harakat
عَاطْسُه عَطِس,3aatso 3atis,3aatso 3atsit,False,14,12,10-19,10-19,arabic_harakat
زَيّ لَوح القَزَاز لَا طِيز ولَا بْزَاز,zay loo7il iqzaaz laa tiiz wala bzaaz,zayy 2il7ooz laa taqq 2izalaaz bz walaaziii,False,39,37,30-39,30-39,arabic_harakat
حَكِيم,7akiim,7akiim,True,6,6,0-9,0-9,arabic_harakat
مَضَغ,madagh,madagh,True,5,6,0-9,0-9,arabic_harakat
فَقْمَا,faqma,faqma,True,7,5,0-9,0-9,arabic_harakat
تْنَظَّم,tnazzam,tnazzam,True,8,7,0-9,0-9,arabic_harakat
رَيت,reet,reet,True,4,4,0-9,0-9,arabic_harakat
كْرُكِّة,krukke,krukke,True,8,6,0-9,0-9,arabic_harakat
زَبَل,zabal,zabal,True,5,5,0-9,0-9,arabic_harakat
مَطَّة,matta,matta,True,6,5,0-9,0-9,arabic_harakat
بُكْرَة,bukra,bukra,True,7,5,0-9,0-9,arabic_harakat
يِحْكِي,yi7ki,yi7ki,True,7,5,0-9,0-9,arabic_harakat
خَيل,kheel,kheel,True,4,5,0-9,0-9,arabic_harakat
تَرْبِية,tarbiye,tarbiye,True,8,7,0-9,0-9,arabic_harakat
رَمْلَاوِي,ramlaawi,ramlaawi,True,10,8,10-19,0-9,arabic_harakat
ينَعِّق,yna33iq,yna33iq,True,7,7,0-9,0-9,arabic_harakat
تْفَخْفَخ,tfakhfakh,tfakhfakh,True,9,9,0-9,0-9,arabic_harakat
شوَاقِيق,shawaaqiiq,shawaaqiiq,True,8,10,0-9,10-19,arabic_harakat
أَبو كمونة,2abu kammuune,2abu kamine,False,10,13,10-19,10-19,arabic_harakat
اِخْنِب,2ikhnib,2ikhnib,True,7,7,0-9,0-9,arabic_harakat
صَايِر مثل البَلَّونِة,saayir mitil 2ilballoone,saayir mittool bin,False,22,24,20-29,20-29,arabic_harakat
قُمُنْدَرَة,qumandara,qumundara,False,11,9,10-19,0-9,arabic_harakat
وَسَط,wasat,wasat,True,5,5,0-9,0-9,arabic_harakat
يِقْفَر,yiqfar,yiqfar,True,7,6,0-9,0-9,arabic_harakat
شَارِب,shaarib,shaarib,True,6,7,0-9,0-9,arabic_harakat
مثل عين الشَّمِس,mitil 3een 2ishshamis,mitil 3ani shsh 2imshims,False,16,21,10-19,20-29,arabic_harakat
يِنْظَف,yindaf,yinzaf,False,7,6,0-9,0-9,arabic_harakat
حَرْوَل,7arwal,7arwal,True,7,6,0-9,0-9,arabic_harakat
جَهْجَهَة اَالضَّوّ,jahjahit 2iddaww,jahwadja 2idde,False,19,16,10-19,10-19,arabic_harakat
يِنْحِسِم,yin7isim,yin7isim,True,9,8,0-9,0-9,arabic_harakat
نُخْبِة,nukhbe,nukhbe,True,7,6,0-9,0-9,arabic_harakat
يُعْكُم,yu3kum,yu3kum,True,7,6,0-9,0-9,arabic_harakat
اِنْحَسَد,2in7asad,2in7asad,True,9,8,0-9,0-9,arabic_harakat
اِسْتَظْرِف,2istazrif,2istazrif,True,11,9,10-19,0-9,arabic_harakat
جَاوَز,jaawaz,jaawaz,True,6,6,0-9,0-9,arabic_harakat
يِخْشُط,yikhshut,yikhshut,True,7,8,0-9,0-9,arabic_harakat
يِدْحَر,yid7ar,yid7ar,True,7,6,0-9,0-9,arabic_harakat
حِرْبَايِة,7irbaaye,7irbaaye,True,10,8,10-19,0-9,arabic_harakat
اِتْفَاجَأ,2itfaaja2,2itfaaja2,True,10,9,10-19,0-9,arabic_harakat
اِنْقِلِب,2inqilib,2inqilib,True,9,8,0-9,0-9,arabic_harakat
شَرَّب,sharrab,sharrab,True,6,7,0-9,0-9,arabic_harakat
نَكِّت,nakkit,nakkit,True,6,6,0-9,0-9,arabic_harakat
بَهْلُول,bahluul,bahluul,True,8,7,0-9,0-9,arabic_harakat
فَخَّة,fakhkha,fakhkha,True,6,7,0-9,0-9,arabic_harakat
سَلَّف,sallaf,sallaf,True,6,6,0-9,0-9,arabic_harakat
اِقْفَر,2iqfar,2iqfar,True,7,6,0-9,0-9,arabic_harakat
اِمْتَلَا,2imtala,2imtala,True,9,7,0-9,0-9,arabic_harakat
لْسَانه بسَبَع شَطَلَات,lsaano bsabi3 shatalaat,lsano bitla3 sabatala,False,23,23,20-29,20-29,arabic_harakat
يفَرْفِط,yfarfit,yfarfit,True,8,7,0-9,0-9,arabic_harakat
كَعْبَلِة,ka3bale,ka3bale,True,9,7,0-9,0-9,arabic_harakat
يَا رَيت,yaa reet,yaa reet,True,8,8,0-9,0-9,arabic_harakat
يتِيح,ytii7,ytii7,True,5,5,0-9,0-9,arabic_harakat
يِطْرَش,yitrash,yitrash,True,7,7,0-9,0-9,arabic_harakat
هَفَا,hafa,hafa,True,5,4,0-9,0-9,arabic_harakat
اِنْفَكّ,2infakk,2infakk,True,8,7,0-9,0-9,arabic_harakat
مُنْقَاد,munqaad,munqaad,True,8,7,0-9,0-9,arabic_harakat
تْغَدَّى,tghadda,tghadda,True,8,7,0-9,0-9,arabic_harakat
اِتْسَافَل,2itsaafal,2itsaafal,True,10,9,10-19,0-9,arabic_harakat
يِقْتُل,yiqtul,yiqtul,True,7,6,0-9,0-9,arabic_harakat
يِتْشَقَّف,yitshaqqaf,yitshaqqaf,True,10,10,10-19,10-19,arabic_harakat
سُلْطَة,sulta,sulta,True,7,5,0-9,0-9,arabic_harakat
حَوَّط,7awwat,7awwat,True,6,6,0-9,0-9,arabic_harakat
سْدُورَة,sduura,sduura,True,8,6,0-9,0-9,arabic_harakat
اِشْكُر,2ishkur,2ishkur,True,7,7,0-9,0-9,arabic_harakat
زَنْبُوط,zambuut,zambuut,True,8,7,0-9,0-9,arabic_harakat
يِسْتَهْدِف,yistahdif,yistahdif,True,11,9,10-19,0-9,arabic_harakat
حَبِّط,7abbit,7abbit,True,6,6,0-9,0-9,arabic_harakat
شَيْطَنِة,shaytane,shaytane,True,9,8,0-9,0-9,arabic_harakat
أَبو مِزْرَاق,2abu mizraaqk,2abu mizarq,False,13,13,10-19,10-19,arabic_harakat
حْضُون,7duun,7duun,True,6,5,0-9,0-9,arabic_harakat
لَافِتِة,laafite,laafite,True,8,7,0-9,0-9,arabic_harakat
يِتْدَوِّش,yiddawwash,yiddawwash,True,10,10,10-19,10-19,arabic_harakat
حُزَّيرَة,7uzzeera,7uzzeera,True,9,8,0-9,0-9,arabic_harakat
يفِعّ,yfi33,yfi33,True,5,5,0-9,0-9,arabic_harakat
حَزِّر,7azzir,7azzir,True,6,6,0-9,0-9,arabic_harakat
فِلِس,filis,filis,True,5,5,0-9,0-9,arabic_harakat
مْبَرْقَع,2imbarqa3,mbarqa3,False,9,9,0-9,0-9,arabic_harakat
طُنَج,tunaj,tunaj,True,5,5,0-9,0-9,arabic_harakat
يُفْطُس,yuftus,yuftus,True,7,6,0-9,0-9,arabic_harakat
تْسَخَّن,tsakhkhan,tsakhkhan,True,8,9,0-9,0-9,arabic_harakat
اِتْسَخَّن,2itsakhkhan,2itsakhkhan,True,10,11,10-19,10-19,arabic_harakat
مْنَفِّذ,mnaffid,mnaffiz,False,8,7,0-9,0-9,arabic_harakat
سِيَّارَة,siyyaara,siyyaara,True,9,8,0-9,0-9,arabic_harakat
خَلَق,khalaq,khalaq,True,5,6,0-9,0-9,arabic_harakat
يهَجِّج,yhadjdjidj,yhadjdjidj,True,7,10,0-9,10-19,arabic_harakat
