source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket,candidate_rank
أَرْغِفَة,2arghife,2arghife,True,9,8,0-9,0-9,1
يِسْحَر,yis7ar,ysa77ir,False,7,6,0-9,0-9,1
يتْخَنْزَر,yitkhanzar,yitkhanzar,True,10,10,10-19,10-19,3
سَطَح,sata7,satti7,False,5,5,0-9,0-9,1
شِدِد,shaddad,shaddid,False,5,7,0-9,0-9,4
يِلْتِئِج,yiltaji2,yiltiji2,False,9,8,0-9,0-9,2
اِتَنَافَر,2itnaafar,2itnaafar,True,10,9,10-19,0-9,5
جَعْجَولِة,dja3djuule,dja3djuule,True,10,10,10-19,10-19,5
رَاضِع حَلِيب سَابع,raadi3 7aliib sbaa3,raadi3 7aliib sbaa3,True,19,19,10-19,10-19,3
اُدْهُن,2idhan,2idhan,True,7,6,0-9,0-9,5
خَافِف,khaaf,khaafif,False,6,5,0-9,0-9,5
صَوبَّة,sooba,sooba,True,7,5,0-9,0-9,4
تَالَي,taali,taali,True,6,5,0-9,0-9,5
سِلْسِلِة,silsile,silsile,True,9,7,0-9,0-9,3
اُلْغِي,2ilghi,2ilghi,True,7,6,0-9,0-9,4
ثَمَّن,thammin,thamman,False,6,7,0-9,0-9,1
ذَبَل,dibal,dabbil,False,5,5,0-9,0-9,4
مُنْفِصِل,munfasil,munfasil,True,9,8,0-9,0-9,3
يُهْجُص,yhadjdjis,yhadjdjis,True,7,9,0-9,0-9,3
جِدَبَا,jadba,jadba,True,7,5,0-9,0-9,3
يِتْفَارَق,yitfaaqar,yitfaaqar,True,10,9,10-19,0-9,3
اِنْصِنِع,2insana3,2insana3,True,9,8,0-9,0-9,1
شَقْرِم,shaqkrim,shaqkram,False,7,8,0-9,0-9,2
يحِشّ,y7ishsh,y7ishsh,True,5,7,0-9,0-9,1
أُمِّة لَا إِله إِلَا الله,2ummit laa 2ilaha 2illa 2allaa,2ummit laa 2ilaha 2illa 2ila 2ilala,False,26,30,20-29,30-39,1
اِسْتَهْوَي,2istahwi,2istahwi,True,11,8,10-19,0-9,3
اِبن الضرة ممنوش مسرَّة,2ibin 2iddurra maminuush masarra,2ibin 2iddurra minuush masarra,False,23,32,20-29,30-39,1
يزَعْبِر,yza3bir,yza3bir,True,8,7,0-9,0-9,1
لَحِق,la77aq,la77aq,True,5,6,0-9,0-9,4
بُرْجُم,barjam,barjam,True,7,6,0-9,0-9,3
مَخِّط,makhkhit,makhkhat,False,6,8,0-9,0-9,3
قَتَب,qattab,qattab,True,5,6,0-9,0-9,3
الحْزَام الرَّاني,2ili7zaam 2innaari,2ili7zaam 2irraani,False,17,18,10-19,10-19,5
وَجِه,wijih,wajjah,False,5,5,0-9,0-9,5
مُنَاقِس,manaaqis,manaaqis,True,8,8,0-9,0-9,5
اِتَقْرَع,2itqarqa3,2itqarra3,False,9,9,0-9,0-9,3
أَنيْسُون,2aanisuun,2aanisuun,True,9,9,0-9,0-9,4
يَحَافِظ,y7aafiz,y7aafiz,True,8,7,0-9,0-9,5
يِدْمَل,yidmul,yidmul,True,7,6,0-9,0-9,4
لَضَّى,lada,lada,True,6,4,0-9,0-9,2
لِعِب برَاس,li3ib biraas,li3ib biraas,True,11,12,10-19,10-19,2
اِلْتَقَح,2ilta7aq,2ilti7iq,False,9,8,0-9,0-9,4
مُغَيِّن,mghayyin,mghayyin,True,8,8,0-9,0-9,4
اِتْوِسِل,2itwassal,2itwassal,True,9,9,0-9,0-9,3
تْجَرَّع,tjarra3,tjarra3,True,8,7,0-9,0-9,1
ينُوح,ynuu7,ynawwi7,False,5,5,0-9,0-9,2
حِيد,7ayyad,7ayyid,False,4,6,0-9,0-9,3
ينَقْصِف,yinqasif,yinqisif,False,8,8,0-9,0-9,5
يْبَصِّم,yubsum,ybassim,False,8,6,0-9,0-9,5
لِجَايِة,ludjdjaaye,ludjdjaaye,True,8,10,0-9,10-19,2
اِسْتَفْسَر,2istafsir,2istafsir,True,11,9,10-19,0-9,2
عَصْبِيِّة,3asabiyye,3asabiyye,True,10,9,10-19,0-9,3
شْرَيعَة,sharii3a,sharii3a,True,8,8,0-9,0-9,5
جُعَط,dja3at,dja33at,False,5,6,0-9,0-9,5
فَصَّل,fasal,fassil,False,6,5,0-9,0-9,1
جِبْهَة,jabha,jabha,True,7,5,0-9,0-9,4
نَيم البضَاعَة,nayyam 2ilibdaa3a,nayyam 2ilibdaa3a,True,14,17,10-19,10-19,5
مْمَعْوِط,mam3uut,mam3uut,True,9,7,0-9,0-9,2
مَنْظَرَة,manzara,manzara,True,9,7,0-9,0-9,1
غَمَّر,ghimer,ghammir,False,6,6,0-9,0-9,1
فَوَّر لِي دَمِّي,fawwar li dammi,fawwarli dammi,False,17,15,10-19,10-19,1
يِتْحَنَّك,yit7annak,yit7annak,True,10,9,10-19,0-9,1
اِنَصَن,2insini3,2insanat,False,7,8,0-9,0-9,5
يِنْسَحَر,yinsi7ir,yinsi7ir,True,9,8,0-9,0-9,5
فُوز,fawwaz,fuuz,False,4,6,0-9,0-9,2
اِنْسَخ,2insakh,2insakh,True,7,7,0-9,0-9,2
كَرِج,karraj,karrij,False,5,6,0-9,0-9,5
مْلَاوَد,mlaawid,mlaawid,True,8,7,0-9,0-9,5
يِتْفَنَّد,yitfannad,yitfannad,True,10,9,10-19,0-9,1
سَقِيفِة,sqiife,sqiife,True,8,6,0-9,0-9,2
زُرَّيبِة,zriibe,zriibe,True,9,6,0-9,0-9,4
أَحْط بذمتي,2a7ot bzimti,2a7ot bzimti,True,11,12,10-19,10-19,5
دَقَّق,daqqaq,daqqiq,False,6,6,0-9,0-9,2
أَوكِي,2ookee,2ookee,True,6,6,0-9,0-9,2
عَظْمِة لْسَاني,3admit lsaani,3admit lsaani,True,15,13,10-19,10-19,2
اِخْوَل,2ikhwil,2ikhwil,True,7,7,0-9,0-9,2
كُنُز,kanz,kanniz,False,5,4,0-9,0-9,4
مُهَسِّس,mhashis,mhassis,False,8,7,0-9,0-9,5
اِكْسِر الشُّرّ,2uksir 2ishshar,2uksir 2ishshar,True,15,15,10-19,10-19,5
طَاسِة الخَفِة,taasit 2ilkhiffe,taasit 2ilkhiffe,True,14,16,10-19,10-19,5
يِرْبَح,yirba7,yrabbi7,False,7,6,0-9,0-9,4
اِتْشَهّد,2itshahhad,2itshahhad,True,9,10,0-9,10-19,4
يِلْتَهَب,yiltihib,yiltihib,True,9,8,0-9,0-9,3
مَحْيَرَنِة,m7ayrane,m7ayrane,True,11,8,10-19,0-9,2
شَبَص,shabbis,shabbis,True,5,7,0-9,0-9,3
اِتْلَبَّس,2itlabbas,2itlabbas,True,10,9,10-19,0-9,1
يفَلِّت,yfallit,yiflit,False,7,7,0-9,0-9,4
يُخْرُج,yukhruj,yukhruj,True,7,7,0-9,0-9,4
اِتْزَعَّع,2itza3za3,2it3azzaz,False,10,9,10-19,0-9,5
يِزْغِز,yzaghzigh,yzaghzigh,True,7,9,0-9,0-9,5
إِشِي وشْوَاتِي,2ishi wishwayyaat,2ishi wishwayyaat,True,15,17,10-19,10-19,5
يحَتْرِس,yi7taris,yi7taris,True,8,8,0-9,0-9,3
مْبَرْقَع,2imbarqa3,mbarqi3,False,9,9,0-9,0-9,3
طَاحِش,taa7ish,taa7ish,True,6,7,0-9,0-9,1
تْفَوَّيت,tafwiit,tafwiit,True,9,7,0-9,0-9,3
يَحَاكِي,y7aaki,y7aaki,True,8,6,0-9,0-9,4
اِتْكَتْرَف,2itkarfat,2itkarfat,True,11,9,10-19,0-9,4
وَخْوَخ,wakhwikh,wakhwikh,True,7,8,0-9,0-9,1
أَزَّال,2azaal,2azaal,True,7,6,0-9,0-9,2
عِوَائِل,3awaa2il,3awaa2il,True,8,8,0-9,0-9,4
يِنْضِوِع,yinwidi3,yinwidi3,True,9,8,0-9,0-9,3
وِحْوِح,wa7wa7,wa7wi7,False,7,6,0-9,0-9,4
عَائِّق,3aa2iq,3aa2iq,True,7,6,0-9,0-9,4
تَمْتِم,tamtim,tamtim,True,7,6,0-9,0-9,3
أِنّ,2ann,2ann,True,4,4,0-9,0-9,4
نُقُر,naqir,naqqar,False,5,5,0-9,0-9,5
حَقِر,7aqqir,7aqqir,True,5,6,0-9,0-9,5
يِعْطَب,yu3tub,y3attib,False,7,6,0-9,0-9,5
يِطْوِف,ytawwif,ytuuf,False,7,7,0-9,0-9,3
النَاس بتِحْلِف بحَاتُهي,2innaas bti7lif b7ayaato,2innaas bti7lif b7ayaato,True,24,24,20-29,20-29,3
يكِفّ,ykuff,ykiff,False,5,5,0-9,0-9,2
دَبَّب,dubab,dabbib,False,6,5,0-9,0-9,2
طُنْجِير,tandjiir,tanjiir,False,8,8,0-9,0-9,2
طِيب,tayyib,tiib,False,4,6,0-9,0-9,2
عِطْوِة,3atwe,3atwe,True,7,5,0-9,0-9,4
مِحْلُو,mi7law,mi7law,True,7,6,0-9,0-9,2
لُطُف,lattif,lattif,True,5,6,0-9,0-9,5
حَوِّد,7awwad,7awwad,True,6,6,0-9,0-9,2
نِفْسُه عَزِيزِة,nifso 3aziize,nifso 3aziize,True,16,13,10-19,10-19,5
نَطِّح,nata7,nata7,True,6,5,0-9,0-9,3
بَارْحَة,baar7a,baar7a,True,8,6,0-9,0-9,1
إِخَوِة,2ikhwe,2ikhwe,True,7,6,0-9,0-9,5
مُتَفَوِّق,mutafawwiq,mitfawwiq,False,10,10,10-19,10-19,1
اُسْوَارَة,2iswaara,2iswaara,True,10,8,10-19,0-9,2
يِخْف,ykhiff,ykhiff,True,5,6,0-9,0-9,4
زِنّ,nizz,nazz,False,4,4,0-9,0-9,1
تَعْيِين,ta3yiin,ta3yiin,True,8,7,0-9,0-9,1
شَوَاطِئ,shawaati2,shawaati2,True,8,9,0-9,0-9,1
طَرُومْبِة,trombe,trombe,True,10,6,10-19,0-9,3
فَوق بَعِض,fooq ba3ad,fooq ba3ad,True,10,10,10-19,10-19,5
دَوَاهِي,dawaahi,dawaahi,True,8,7,0-9,0-9,1
زِقَة,zuqqazukkazu22a,zuqqazukkazu22a,True,5,15,0-9,10-19,4
عَقْصَة,3uqsa,3uqsa,True,7,5,0-9,0-9,3
طُرْقُع,tarqa3,tarqi3,False,7,6,0-9,0-9,3
يِسْلَط,ysallit,ysallit,True,7,7,0-9,0-9,5
اِسْتَقْفَد,2istafqid,2istafqad,False,11,9,10-19,0-9,5
يِتَنْفَل,yitnaffal,yitnaffal,True,9,9,0-9,0-9,4
مْثَقَّف,musaqqaf,musaqqaf,True,8,8,0-9,0-9,2
اِعْيِش,3aayish,3aayish,True,7,7,0-9,0-9,3
يَا رَيّ,yaa reet,yaa ree,False,8,8,0-9,0-9,4
المحممر وَالشمر,2ilim7ammar wilimshammar,2ilim7ammar wilimshammar,True,15,24,10-19,20-29,4
قَادوِس,qaaduus,qaaduus,True,7,7,0-9,0-9,4
مْتَعْرِب,mit3arbish,mit3arbish,True,9,10,0-9,10-19,5
رِكِض,rakkad,rakkad,True,5,6,0-9,0-9,4
وَكَّر,wakar,wakkir,False,6,5,0-9,0-9,1
بَخَّل,bikhil,bakhkhil,False,6,6,0-9,0-9,2
فُقَّيد,faqiid,faqiid,True,7,6,0-9,0-9,4
أُزَّال,2azaal,2azaal,True,7,6,0-9,0-9,3
اِرْبُك,2irbik,2irbik,True,7,6,0-9,0-9,5
يتْحَصَّن,yit7assan,yit7annas,False,9,9,0-9,0-9,5
يُلْطُش,ylattish,ylattish,True,7,8,0-9,0-9,3
يِنْلَزِع,yinlizi3,yinlizi3,True,9,8,0-9,0-9,4
كِفْرِيَّات,kafriyyaat,kafriyyaat,True,11,10,10-19,10-19,4
حَرِيقَة,7ariiqa,7ariiqa,True,8,7,0-9,0-9,1
يِنْخَتَن,yinkhitin,yinkhitin,True,9,9,0-9,0-9,3
منعم ومكرم,min3im wumikrim,min3im wumikrim,True,10,15,10-19,10-19,1
اِتْوَالَف,2itwaalaf,2itwaalaf,True,10,9,10-19,0-9,1
شَبَّب,shabbib,shabbib,True,6,7,0-9,0-9,2
اِتْطَحْطَش,2itsha7tat,2itsha7tat,True,11,10,10-19,10-19,4
ذَان من طين وذَان معجين,dhaan min tiin wudhaan min 3adjiin,daan min tiin wudaan min 3adjiin,False,23,34,20-29,30-39,2
إِلُه عمر,2ilo 3umur,2ilo 3umur,True,9,10,0-9,10-19,2
إِيد خَفِيفِة,2iido khafiife,2iido khafiife,True,13,14,10-19,10-19,2
وقع قَلْبي,wiqi3 qalbi,wiqi3 qalbi,True,10,11,10-19,10-19,3
لبَيت خَالْيِت,labeet khaalti,labeet khaalti,True,14,14,10-19,10-19,3
تْكَاسَل,tkaasal,tkaasal,True,8,7,0-9,0-9,1
نَفَخ,naffakh,naffakh,True,5,7,0-9,0-9,1
نَفَل,naffil,naffil,True,5,6,0-9,0-9,2
عَنّ,3ann,3inn,False,4,4,0-9,0-9,2
عَظِّيم,3aziim,3adiim,False,7,6,0-9,0-9,3
صَوَّب,soob,soob,True,6,4,0-9,0-9,3
خِدِر,khadar,khaddir,False,5,6,0-9,0-9,4
دَرْب يسِدّ مَا يرد,darbi ysidd maa yridd,darbi ysidd maa yridd,True,19,21,10-19,20-29,4
يتَزُّر,yitzarrar,yitzarrar,True,7,9,0-9,0-9,5
اُتْرُس,2utrus,2utrus,True,7,6,0-9,0-9,3
سَبَّح,sibi7,sabbi7,False,6,5,0-9,0-9,2
بُرُر,barrar,barrir,False,5,6,0-9,0-9,5
يِرْجُع,yrajji3,yirja3,False,7,7,0-9,0-9,5
شَبِر,shabbar,shabbar,True,5,7,0-9,0-9,5
أُخَذ مَجْدُه,2akhad maddo,2akhad maddo,True,13,12,10-19,10-19,4
اِحْصُل,2u7sul,2i7sal,False,7,6,0-9,0-9,4
هَرَّش,hirish,harrish,False,6,6,0-9,0-9,2
مُشَارِيب,mashaariib,mashaariib,True,9,10,0-9,10-19,5
بيهَطْلَع,byitla3lo,byitla3lo,True,9,9,0-9,0-9,5
جُهَّاد,jihaad,jihaad,True,7,6,0-9,0-9,5
يُفْطُس,yuftus,yuftus,True,7,6,0-9,0-9,4
اِتْوَرْشَع,2itwarsha3,2itwarsha3,True,11,10,10-19,10-19,1
قَبَّع,quba3,qabbi3,False,6,5,0-9,0-9,4
اِنْبُنِي,2inbini,2inbini,True,9,7,0-9,0-9,5
عَدَى,3adda,3adda,True,5,5,0-9,0-9,1
أَشْخَاص,2ashkhaas,2ashkhaas,True,8,9,0-9,0-9,1
شَقَق,shuqaq,shaqqiq,False,5,6,0-9,0-9,3
بُتِّة,batte,batte,True,6,5,0-9,0-9,3
يُلْحُط,yla77it,yla77it,True,7,7,0-9,0-9,3
اِحْفِن,2i7fin,2i7fin,True,7,6,0-9,0-9,2
مَا صَدِّقِت عَالله,maa saddaqit 3a2alla,maa saddaqit 3a2alla,True,19,20,10-19,20-29,1
بَابْجُو,babuuj,babuuj,True,8,6,0-9,0-9,3
خِسّ,khiss,khass,False,4,5,0-9,0-9,2
يخَرِّم,ykharrim,yikhram,False,7,8,0-9,0-9,1
عِجَاح,3adjaadj,3adjaadj,True,6,8,0-9,0-9,4
شِنَادِير,shanaadiir,shanaadiir,True,9,10,0-9,10-19,5
غَمِّق,ghammiq,ghammiq,True,6,7,0-9,0-9,2
طَحِّن,ta77an,ta77in,False,6,6,0-9,0-9,3
كُوفَل,koofal,koofil,False,6,6,0-9,0-9,4
يِنْمَسَخ,yinmisikh,yinmisikh,True,9,9,0-9,0-9,4
قِلِق,qiliq,qallaq,False,5,5,0-9,0-9,4
قلبي من عليهَا,qalbi malyaan 3alee,qalbi min 3aleeha,False,14,19,10-19,10-19,2
يِدْعَم,yda33im,yda33im,True,7,7,0-9,0-9,1
يْؤزِّم,y2azzim,y2azzim,True,7,7,0-9,0-9,3
لَوِّج,looj,lawwij,False,6,4,0-9,0-9,3
يِزِم,yzimm,yzimm,True,5,5,0-9,0-9,3
صَوَف,suuf,sawwif,False,5,4,0-9,0-9,5
يِسْتِهِلّ,yistahill,yistahill,True,10,9,10-19,0-9,4
يِنِشْلِش,yinshilish,yinishlish,False,9,10,0-9,10-19,5
عَمِل فِيه البُدَع,3imil fii 2ilbuda3,3imil fii 2ilbuda3,True,18,18,10-19,10-19,4
اللي أمه في البيت خبوكل الزِّيت,2illi 2immo filbeet bookil khubze wuzeet,2illi 2immo filbeet bookil khubze wuzeet,True,31,40,30-39,40-49,4
يحَتِّج,yi7tajj,yi7tajj,True,7,7,0-9,0-9,2
أَيَد,2ayyid,2ayyad,False,5,6,0-9,0-9,4
سَبْسَب,sabsab,sabsib,False,7,6,0-9,0-9,1
يسَطِّل,yustul,yustul,True,7,6,0-9,0-9,2
يِتْمَتَّق,yitmattaqk2,yitmattaqk2,True,10,11,10-19,10-19,1
رَدَح,radi7,rada7,False,5,5,0-9,0-9,1
اِنْجَبَر,2injibir,2injibir,True,9,8,0-9,0-9,1
وَقّف عرَاسه,waqqaf 3araaso,waqqaf 3araaso,True,12,14,10-19,10-19,2
سَحَالِي,sa7aali,sa7aali,True,8,7,0-9,0-9,1
عينُه زَايْغَة,3eeno zaaygha,3eeno zaaygha,True,14,13,10-19,10-19,4
دَلَّح,dali7,dala7,False,6,5,0-9,0-9,3
سَهَم,sahmid,sahim,False,5,6,0-9,0-9,5
اِجْرِة الحَمَام,2ijir 2il7amaame,2ijir 2il7amaame,True,16,16,10-19,10-19,4
يِلْتَحِق,yilti7iq,yilti7iq,True,9,8,0-9,0-9,3
رَكَن,rukun,rakan,False,5,5,0-9,0-9,3
اِخْنُق,khaana2,2ikhnuq,False,7,7,0-9,0-9,3
مَقَاذِيع,magaadhii3,magaadhii3,True,9,10,0-9,10-19,1
خَسْفِة,khasfe,khasfe,True,7,6,0-9,0-9,1
تدهول على عيه,2iddahwal 3ala 3eeno,2iddahwal 3ala 3ee,False,13,20,10-19,20-29,3
تَشِيع,tshayya3,tshayya3,True,6,8,0-9,0-9,4
كِرَاز,karraaz,kraaz,False,6,7,0-9,0-9,5
اِسْتَدْعَل,2istadli3,2istadli3,True,11,9,10-19,0-9,5
اِنْبَغ,2inbugh,2inbugh,True,7,7,0-9,0-9,4
أَرَشِّف,2arshaf,2arshaf,True,8,7,0-9,0-9,5
بَرْنَيطَة,burneeta,burneeta,True,10,8,10-19,0-9,5
اِشْتَقَا,2ishtaaq,2ishtaaq,True,9,8,0-9,0-9,2
حَاج,7aajij,7aaj,False,4,6,0-9,0-9,4
يْمَاثِل,ymaasil,ymaasil,True,8,7,0-9,0-9,2
مْفَرَّط,mfarrat,mfarrat,True,8,7,0-9,0-9,2
اِتِّطْوَال,2ittaawal,2ittaawal,True,11,9,10-19,0-9,5
آخذ,2aakhaz,2aakhiz,False,3,7,0-9,0-9,5
دَارِج,daarij,daarij,True,6,6,0-9,0-9,1
اِسْتَهْتِر,2istahtar,2istahtar,True,11,9,10-19,0-9,4
لَغِّم,laghgham,laghghim,False,6,8,0-9,0-9,2
مِحْتَال,mu7taal,mi7taal,False,8,7,0-9,0-9,1
فُرْكَحَة,farka7a,farka7a,True,9,7,0-9,0-9,3
يضَمِّن,ydammin,yidman,False,7,7,0-9,0-9,1
خَرَزِة البَير,kharazit 2ilbiir,kharazit 2ilbiir,True,14,16,10-19,10-19,3
صِاح,saa7,saa7,True,4,4,0-9,0-9,2
بَعِز,ba33iz,ba33az,False,5,6,0-9,0-9,2
اِصْرُف,2isrif,2isrif,True,7,6,0-9,0-9,3
بَنْدُورَة,banduura,banadoora,False,10,8,10-19,0-9,2
اِتْسَبَّر,2itsarrab,2itsarrab,True,10,9,10-19,0-9,4
سِتْرَة,sutra,sutra,True,7,5,0-9,0-9,4
ضَم,dumm,dumm,True,3,4,0-9,0-9,4
اِحْتِشِم,2i7tashim,2i7tasham,False,9,9,0-9,0-9,3
طْرُودِة,truude,truude,True,8,6,0-9,0-9,1
خُنُوص,khannuus,khannuus,True,6,8,0-9,0-9,3
مْعَنْتَر,m3antir,m3antir,True,9,7,0-9,0-9,3
مْفَبْرَك,mfabrak,mfabrak,True,9,7,0-9,0-9,1
تْزَوَّم,twazzam,twazzam,True,8,7,0-9,0-9,3
اِتْبَقْرَط,2itbarqat,2itbarqat,True,11,9,10-19,0-9,4
بُرُتْقَانِة,burut2gaane,burut2gaane,True,12,11,10-19,10-19,2
بِال,baal,baal,True,4,4,0-9,0-9,3
عَرَض,3arrid,3arrad,False,5,6,0-9,0-9,1
دَوز,duuz,duuz,True,4,4,0-9,0-9,1
كُرْهُب,karhab,karhib,False,7,6,0-9,0-9,5
ينَصِّبا,yinsaab,yinsaab,True,8,7,0-9,0-9,5
يِتْجِعْلِص,yitja3las,yitja3las,True,11,9,10-19,0-9,4
مَصَاحِف,masaa7if,masaa7if,True,8,8,0-9,0-9,1
خَيَّال,khayaal,khayyaal,False,7,7,0-9,0-9,2
فَسَخ,fassikh,fassikh,True,5,7,0-9,0-9,1
عِنْوَانِي,3anaawiin,3anaawiin,True,10,9,10-19,0-9,5
يِغْلِق,yighliq,yighliq,True,7,7,0-9,0-9,4
اِسْتَقَرّ,2istaqirr,2istaqarr,False,10,9,10-19,0-9,5
اِسْطو,2ustu,2ustu,True,6,5,0-9,0-9,4
اِقْتِصِد,2iqtisid,2iqtisid,True,9,8,0-9,0-9,1
يفَسْقِل,yfasqil,yfasqil,True,8,7,0-9,0-9,1
يِتْشَمَّس,yitshammas,yitshammas,True,10,10,10-19,10-19,1
يِتْجَلَّط,yitjallat,yitjallat,True,10,9,10-19,0-9,1
يَولِف,yuulaf,yuulif,False,6,6,0-9,0-9,5
يِنِدْهِس,yindihis,yindihis,True,9,8,0-9,0-9,4
يتْمَشْكَل,yitmashkal,yitmashkal,True,10,10,10-19,10-19,2
شَخّر,shakhkhar,shakhkhir,False,5,9,0-9,0-9,5
بُخُلَاء,bukhala,bukhala,True,8,7,0-9,0-9,1
فَطْفَط,fatfat,fatfit,False,7,6,0-9,0-9,4
يِنْرِفِع,yinrifi3,yinrifi3,True,9,8,0-9,0-9,1
يِخْتَشَى,yikhtishi,yikhtishi,True,9,9,0-9,0-9,2
سِفِع,safa3,saffa3,False,5,5,0-9,0-9,5
أَجْهَدّ,2ajhad,2ajhad,True,8,6,0-9,0-9,4
تَخَوُّث,tkhawwat,tkhawwat,True,8,8,0-9,0-9,2
اِتْحَمَّل,2it7ammal,2it7ammal,True,10,9,10-19,0-9,2
يصَنْصِن,ysansin,ysansin,True,8,7,0-9,0-9,1
مَعْشَش,m3ashshish,m3ashshish,True,7,10,0-9,10-19,5
يفَتِّن,yfattin,yfattin,True,7,7,0-9,0-9,3
مَرَّار,maraar,maraar,True,7,6,0-9,0-9,4
هَشِم,hashsham,hashsham,True,5,8,0-9,0-9,4
اِتَّلَك,2itlakkak,2itlakkak,True,8,9,0-9,0-9,2
سُفْرُطَاس,safirtaas,safirtaas,True,10,9,10-19,0-9,4
فَودَس,foodas,foodis,False,6,6,0-9,0-9,2
إِجْبِيرَا,2ijbaari,2ijbiyaar,False,10,8,10-19,0-9,4
جَرْجَر,jarjar,jarjar,True,7,6,0-9,0-9,1
اِنْقَسَام,2inqisaam,2inqisaam,True,10,9,10-19,0-9,3
مْلَقِّب,mlaqqab,mlaqqab,True,8,7,0-9,0-9,2
نِدْبِة,nadbe,nadbe,True,7,5,0-9,0-9,5
اِتْمَاسَح,2itsaama7,2itmaasa7,False,10,9,10-19,0-9,5
صُون,sawwin,sawwan,False,4,6,0-9,0-9,3
مُهَم,muhimm,mahim,False,5,6,0-9,0-9,4
يتَوَتُّر,yitwattar,yitwattar,True,9,9,0-9,0-9,3
فُودِس,foodis,foodis,True,6,6,0-9,0-9,5
مَرْوِح,mirwi7,mrawwi7,False,7,6,0-9,0-9,5
نَام على لوجه طب,naam 3ala wijho tabb,naam 3ala wijho tab,False,16,20,10-19,20-29,4
سِجَادِة,sijjaade,sijjaade,True,8,8,0-9,0-9,3
قُلْقَان,qalaqaan,qalqaan,False,8,8,0-9,0-9,2
حَبِّة دَمَّل,7abbit dummal,7abbit dummal,True,13,13,10-19,10-19,1
مرفع عنُّه القَلَم,marfuu3 3anno 2ilqalam,marfa3 3anno 2ilqalam,False,18,22,10-19,20-29,4
صَحُو,si7u,sa7u,False,5,4,0-9,0-9,1
شَوَى,shawa,shawa,True,5,5,0-9,0-9,1
مْخَوَّل,mikhwil,mkhawwil,False,8,7,0-9,0-9,2
