source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket
nakira,نكرة,نكرة,True,6,4,0-9,0-9
tfakhfakh,تفخفخ,تفخفخ,True,9,5,0-9,0-9
3adam 3aqlo,عدم عقله,عظم عقله,False,11,8,10-19,0-9
3udu,عضو,عدو,False,4,3,0-9,0-9
yjassim,يجسم,يجسم,True,7,4,0-9,0-9
ta3aayush,تعايش,تعايش,True,9,5,0-9,0-9
yin7ashsh,ينحش,ينحش,True,9,4,0-9,0-9
2itwaalaf,اتوالف,اتوالف,True,9,6,0-9,0-9
t3allab,تعلب,تعلب,True,7,4,0-9,0-9
naqi,نقي,نقي,True,4,3,0-9,0-9
broos,بروس,بروص,False,5,4,0-9,0-9
3atme,عتمة,عتمة,True,5,4,0-9,0-9
qarmaz,قرمز,قرمز,True,6,4,0-9,0-9
jildo mkalkil,جلده مكلكل,جلد مكله,False,13,10,10-19,10-19
tartuushe,طرطوشة,طرطوشة,True,9,6,0-9,0-9
yiqk7af,يقحف,يقحف,True,7,4,0-9,0-9
yqkannish,يقنش,يقنش,True,9,4,0-9,0-9
sduura,سدورة,صدورة,False,6,5,0-9,0-9
tafkiik,تفكيك,تفكيك,True,7,5,0-9,0-9
yboobi3,يبوبع,يبوبع,True,7,5,0-9,0-9
yinghamm,ينغم,ينغم,True,8,4,0-9,0-9
sheemil,شيمل,شيمل,True,7,4,0-9,0-9
khiss,خس,خص,False,5,2,0-9,0-9
2aswa2,أسوأ,أسوى,False,6,4,0-9,0-9
ysa77ib,يسحب,يصحب,False,7,4,0-9,0-9
dju3eede,جعيدة,جعيد,False,8,5,0-9,0-9
shakhsiyye,شخصية,شخصية,True,10,5,10-19,0-9
tmalla7,تملح,تملح,True,7,4,0-9,0-9
mibhij,مبهج,مبهج,True,6,4,0-9,0-9
yinkhitif,ينخطف,ينخطف,True,9,5,0-9,0-9
m7ayrin,محيرن,محيرن,True,7,5,0-9,0-9
shaayidh,شايذ,شايذ,True,8,4,0-9,0-9
baqqir,بقر,بقر,True,6,3,0-9,0-9
laa shaghle wlaa mashghale,لا شغلة ولا مشغلة,لا شغلة ولامة,False,26,17,20-29,10-19
2itkawwar,اتكور,اتكور,True,9,5,0-9,0-9
m3aarid,معارض,معارض,True,7,5,0-9,0-9
yii 3alee,يي عليه,يييييع عليه,False,9,7,0-9,0-9
2afkh,أفخ,أفخ,True,5,3,0-9,0-9
darrin,درن,درن,True,6,3,0-9,0-9
muta3ajrif,متعجرف,متعجرف,True,10,6,10-19,0-9
malhuuf,ملهوف,ملهوف,True,7,5,0-9,0-9
nakkaashit dineen,نكاشة ذنين,نكاشة سندين,False,17,10,10-19,10-19
tnaaqar,تناقر,تناقر,True,7,5,0-9,0-9
2ittaffal,تطفل,اتطفل,False,9,4,0-9,0-9
ta3aawun,تعاون,تعاون,True,8,5,0-9,0-9
ma7aq,محق,محق,True,5,3,0-9,0-9
djurun,جرن,جرن,True,6,3,0-9,0-9
sharaayit,شرايط,شرايط,True,9,5,0-9,0-9
yfarrish,يفرش,يفرش,True,8,4,0-9,0-9
munkhul,منخل,منخل,True,7,4,0-9,0-9
tjaddad,تجدد,تجدد,True,7,4,0-9,0-9
yjaari,يجاري,يجاري,True,6,5,0-9,0-9
y7ammis,يحمس,يحمص,False,7,4,0-9,0-9
wijho mitil qaa3 2ittanjara,وجهه مثل قاع الطنجرة,وجهه مثل تناقرة العت,False,27,20,20-29,20-29
sabbaak,سباك,سباك,True,7,4,0-9,0-9
2im3at,امعط,امعط,True,6,4,0-9,0-9
tafash,طفش,طفش,True,6,3,0-9,0-9
yit3antaz,يتعنطز,يتعنطز,True,9,6,0-9,0-9
nkuuf,نكوف,نكوف,True,5,4,0-9,0-9
mastuum,مسطوم,مسطوم,True,7,5,0-9,0-9
2idha 7azzak 3daam qariqto,إذا حظك عظام قرقطه,الظه حزامق عرقته,False,26,18,20-29,10-19
2iltafa7,التفح,التفح,True,8,5,0-9,0-9
tkaddas,تكدس,تكدس,True,7,4,0-9,0-9
yinkhibit,ينخبط,ينخبط,True,9,5,0-9,0-9
niik,نيك,نيك,True,4,3,0-9,0-9
khatiiti braqibtak,خطيتي برقبتك,خطيت برقاب,False,18,12,10-19,10-19
yitsaabaq,يتسابق,يتسابق,True,9,6,0-9,0-9
taaqiq shirsh 2il7aya,طاقق شرش الحياء,طاق شرح الايح,False,21,15,20-29,10-19
ziyy,زي,زي,True,4,2,0-9,0-9
maali7,مالح,مالح,True,6,4,0-9,0-9
mfakkir,مفكر,مفكر,True,7,4,0-9,0-9
2i7tashim,احتشم,احتشم,True,9,5,0-9,0-9
kayyaf,كيف,كيف,True,6,3,0-9,0-9
2ajwaa2,أجواء,أجواء,True,7,5,0-9,0-9
ykaafi7,يكافح,يكافح,True,7,5,0-9,0-9
2ibkha3,ابخع,ابخع,True,7,4,0-9,0-9
2itsatshwa7,اتسكوح,اتسكوح,True,11,6,10-19,0-9
yshaqlib,يشقلب,يشقلب,True,8,5,0-9,0-9
manni7,منح,منح,True,6,3,0-9,0-9
2anta,أنت,أنطى,False,5,3,0-9,0-9
bakkaash,بكاش,بكاش,True,8,4,0-9,0-9
tasriib,تسريب,تسريب,True,7,5,0-9,0-9
2ibriiq,إبريق,ابرق,False,7,5,0-9,0-9
yitqanna3,يتقنع,يتقنع,True,9,5,0-9,0-9
makhzuuq,مخزوق,مخزوق,True,8,5,0-9,0-9
saaruukhi,صاروخي,ساروخي,False,9,6,0-9,0-9
kasaafe,كثافة,كسافة,False,7,5,0-9,0-9
yfassi7,يفصح,يفسح,False,7,4,0-9,0-9
mazaabil,مزابل,مزابل,True,8,5,0-9,0-9
lammis,لمس,لمس,True,6,3,0-9,0-9
marba7,مربح,مربح,True,6,4,0-9,0-9
3araqo maraqo,عرقه مرقه,عرقه ماره,False,13,9,10-19,0-9
gruub,جروب,رقوب,False,5,4,0-9,0-9
mba3jir,مبعجر,مبعجر,True,7,5,0-9,0-9
ykarrim,يكرم,يكرم,True,7,4,0-9,0-9
yiqtisid,يقتصد,يقتصد,True,8,5,0-9,0-9
haay wijhi,هاي وجهي,هاي وجهي,True,10,8,10-19,0-9
broosh,بروش,بروش,True,6,4,0-9,0-9
y3arrit,يعرط,يعرط,True,7,4,0-9,0-9
7ifi,حفي,حفي,True,4,3,0-9,0-9
dabbal,ذبل,دبل,False,6,3,0-9,0-9
3attaal battaal,عطال بطال,عطال بطال,True,15,9,10-19,0-9
kazdir,كزدر,كزدر,True,6,4,0-9,0-9
nihaa2i,نهائي,نهائي,True,7,5,0-9,0-9
zooba3a 2il2abyad,زوبعة الأبيض,زيبع أضله,False,17,12,10-19,10-19
qalb,قلب,قلب,True,4,3,0-9,0-9
yshabbik,يشبك,يشبك,True,8,4,0-9,0-9
baraawiiz,براويز,براويز,True,9,6,0-9,0-9
mazaahir,مظاهر,مزاهر,False,8,5,0-9,0-9
yshanshil,يشنشل,يشنشل,True,9,5,0-9,0-9
qawaaniin,قوانين,قوانين,True,9,6,0-9,0-9
zakkam,زكم,زكم,True,6,3,0-9,0-9
yi3jaz,يعجز,يعجز,True,6,4,0-9,0-9
7oo7i,حوحي,حوحي,True,5,4,0-9,0-9
yinriwi,ينروي,ينروي,True,7,5,0-9,0-9
yitsallal,يتسلل,يتسلل,True,9,5,0-9,0-9
dfuur,دفور,دفور,True,5,4,0-9,0-9
balligh,بلغ,بلغ,True,7,3,0-9,0-9
qirtalle,قرطلة,قرطلة,True,8,5,0-9,0-9
2u3fus,اعفص,اعفص,True,6,4,0-9,0-9
3urf,عرف,عرف,True,4,3,0-9,0-9
tafsiir,تفسير,تفسير,True,7,5,0-9,0-9
7amash,حمش,حمش,True,6,3,0-9,0-9
2itna33am,اتنعم,اتنعم,True,9,5,0-9,0-9
yiskha,يسخى,يسخى,True,6,4,0-9,0-9
yinkifit,ينكفت,ينكفت,True,8,5,0-9,0-9
yquul,يقول,يقول,True,5,4,0-9,0-9
y7at7it,يحتحت,يحطحط,False,7,5,0-9,0-9
yfadfid,يفضفض,يفضفض,True,7,5,0-9,0-9
yshalbik,يشلبك,يشلبك,True,8,5,0-9,0-9
2inkabb,انكب,انكب,True,7,4,0-9,0-9
nassi,نسي,نسي,True,5,3,0-9,0-9
batno diribakke,بطنه دربكة,بطنيده بركة,False,15,10,10-19,10-19
3ishriin,عشرين,عشرين,True,8,5,0-9,0-9
dalhim,دلهم,دلهم,True,6,4,0-9,0-9
2itghadda,اتغدى,اتغدى,True,9,5,0-9,0-9
2assal,أصل,أصل,True,6,3,0-9,0-9
ywakhkhir,يوخر,يوخر,True,9,4,0-9,0-9
tkhawwat,تخوث,تخوث,True,8,4,0-9,0-9
mka7ki7,مكحكح,مكحكح,True,7,5,0-9,0-9
mindjahaatlak,منجهاتلك,منجالط,False,13,8,10-19,0-9
ysaddi3,يصدع,يصدع,True,7,4,0-9,0-9
rattal,رطل,رطل,True,6,3,0-9,0-9
y2ashshir,يؤشر,يؤشر,True,9,4,0-9,0-9
7abbit shaame,حبة شامة,حبة شما,False,13,8,10-19,0-9
qadar,قدر,قدر,True,5,3,0-9,0-9
2irbot lsaanak mlii7 laa bidmi wala biqii7,اربط لسانك مليح لابيدمي ولا بيقيح,اربط للاحما وا من بيدك بيلا صي بي بي رحه,False,42,33,40-49,30-39
matbakh,مطبخ,مطبخ,True,7,4,0-9,0-9
ydalbi7,يدلبح,يدلبح,True,7,5,0-9,0-9
maskane,مسكنة,مسكنة,True,7,5,0-9,0-9
musawwir,مصور,مسور,False,8,4,0-9,0-9
2arbi3aa2,أربعاء,أربعاء,True,9,6,0-9,0-9
ma7rame,محرمة,محرمة,True,7,5,0-9,0-9
mghaadir,مغادر,مغادر,True,8,5,0-9,0-9
khawwan,خون,خون,True,7,3,0-9,0-9
yurdum,يردم,يردم,True,6,4,0-9,0-9
tbakkat,تبكت,تبكت,True,7,4,0-9,0-9
banaani,بناني,بناني,True,7,5,0-9,0-9
shaqqa,شقة,شقة,True,6,3,0-9,0-9
tha3be,ثعبة,ثعبة,True,6,4,0-9,0-9
laasi3,لاسع,لاسع,True,6,4,0-9,0-9
2izghil,ازغل,ازغل,True,7,4,0-9,0-9
2ijat 2iddaqqa braaso,إجت الدقة براسه,إجاط الدق بسراسه,False,21,15,20-29,10-19
muhtamm,مهتم,مهتم,True,7,4,0-9,0-9
jaariye,جارية,جارية,True,7,5,0-9,0-9
yka3kish,يكعكش,يكعكش,True,8,5,0-9,0-9
bikriyye,بكرية,بكرية,True,8,5,0-9,0-9
7azaaliit,حزاليط,حزاليط,True,9,6,0-9,0-9
ysha77ir,يشحر,يشحر,True,8,4,0-9,0-9
wi7yaat hanni3me,وحياة هالنعمة,وحياتهت عالمنية,False,16,13,10-19,10-19
2it3allaq,اتعلق,اتعلق,True,9,5,0-9,0-9
m7aqq22a,محقة,محققق,False,8,4,0-9,0-9
taqliim,تقليم,تقليم,True,7,5,0-9,0-9
7baalo tawiile,حباله طويلة,حباله طويلة,True,14,11,10-19,10-19
nammar,نمر,نمر,True,6,3,0-9,0-9
mu7tafiz,محتفظ,محتفظ,True,8,5,0-9,0-9
bu7uur,بحور,بحور,True,6,4,0-9,0-9
naddaabe,ندابة,ندابة,True,8,5,0-9,0-9
2ifti3il,افتعل,افتعل,True,8,5,0-9,0-9
lisseene,لسينة,لسين,False,8,5,0-9,0-9
ykhaffid,يخفض,يخفض,True,8,4,0-9,0-9
makhaamiish,مخاميش,مخاميش,True,11,6,10-19,0-9
2a7kaam,أحكام,أحكام,True,7,5,0-9,0-9
fatte,فتة,فتة,True,5,3,0-9,0-9
tammi3,طمع,طمع,True,6,3,0-9,0-9
balqish,بلقش,بلقش,True,7,4,0-9,0-9
mfaddil,مفضل,مفضل,True,7,4,0-9,0-9
3aqlo bittars,عقله بالترس,عقل بطره,False,13,11,10-19,10-19
mamaasik,مماسك,مماسك,True,8,5,0-9,0-9
2a3maq,أعمق,أعمق,True,6,4,0-9,0-9
yitsahwan,يتصهون,يتصهون,True,9,6,0-9,0-9
yfarkish,يفركش,يفركش,True,8,5,0-9,0-9
salli,سلي,سلي,True,5,3,0-9,0-9
tawwir,طور,طور,True,6,3,0-9,0-9
2ikram,اكرم,اكرم,True,6,4,0-9,0-9
yirtaa7,يرتاح,يرتاح,True,7,5,0-9,0-9
2itqayyam,اتقيم,اتقيم,True,9,5,0-9,0-9
shooro min raaso,شوره من راسه,شور من راسه,False,16,12,10-19,10-19
2i7mid,احمد,احمد,True,6,4,0-9,0-9
2itjannas,اتجنس,اتجنس,True,9,5,0-9,0-9
msammi,مسمي,مسمي,True,6,4,0-9,0-9
2ikhraf,اخرف,اخرف,True,7,4,0-9,0-9
daffash,دفش,دفش,True,7,3,0-9,0-9
yitnahhad,يتنهد,يتنهد,True,9,5,0-9,0-9
qarse,قرصة,قرصة,True,5,4,0-9,0-9
jaar,جار,جار,True,4,3,0-9,0-9
yifruq,يفرق,يفرق,True,6,4,0-9,0-9
yulqu bi2aydiihum 2ila 2ittahluka,يلقوا بأيديهم إلى التهلكة,يلقوب الضخايام,False,33,25,30-39,20-29
2ulfe,ألفة,ألفة,True,5,4,0-9,0-9
y3asqkid,يعسقد,يعسقد,True,8,5,0-9,0-9
mdalda2,مدلدق,مدلدق,True,7,5,0-9,0-9
7aad,حاد,حاد,True,4,3,0-9,0-9
namle,نملة,نملة,True,5,4,0-9,0-9
dalghas,دلغص,دلغص,True,7,4,0-9,0-9
2ihbish,اهبش,اهبش,True,7,4,0-9,0-9
7awaas,حواس,حواس,True,6,4,0-9,0-9
yitshaffa3,يتشفع,يتشفع,True,10,5,10-19,0-9
seef,صيف,سيف,False,4,3,0-9,0-9
tmakkan,تمكن,تمكن,True,7,4,0-9,0-9
shaqiiqa,شقيقة,شقيقة,True,8,5,0-9,0-9
latiif,لطيف,لطيف,True,6,4,0-9,0-9
katkit,كتكت,كتكت,True,6,4,0-9,0-9
3awaatif,عواطف,عواطف,True,8,5,0-9,0-9
riikha,ريخة,ريخة,True,6,4,0-9,0-9
biddi,بدي,بدي,True,5,3,0-9,0-9
2inwisif,انوصف,انوصف,True,8,5,0-9,0-9
yinfishikh,ينفشخ,ينفشخ,True,10,5,10-19,0-9
yidbik,يدبك,يدبك,True,6,4,0-9,0-9
tastase,طسطسة,تستسة,False,7,5,0-9,0-9
yrassi3,يرصع,يرصع,True,7,4,0-9,0-9
maakin,ماكن,ماكن,True,6,4,0-9,0-9
3ashaan khaatrak,عشان خاطرك,عشانك ترهاسك,False,16,10,10-19,10-19
makhtar,مختر,مختر,True,7,4,0-9,0-9
rahrit,رهرط,رهرط,True,6,4,0-9,0-9
taskiite,تسكيتة,تسكيتة,True,8,6,0-9,0-9
2ilghaaye tubarrir 2ilwasiile,الغاية تبرر الوسيلة,الغايبة والتراللصارة,False,29,19,20-29,10-19
gheebe,غيبة,غيب,False,6,4,0-9,0-9
yuhlut,يهلط,يهلط,True,6,4,0-9,0-9
yitbalbas,يتبلبص,يتبلبص,True,9,6,0-9,0-9
mutasahyin,متصهين,متصهين,True,10,6,10-19,0-9
kharfish,خرفش,خرفش,True,8,4,0-9,0-9
3arnuus,عرنوص,عرنوس,False,7,5,0-9,0-9
shalash,شلش,شلش,True,7,3,0-9,0-9
nahash,نهش,نهش,True,6,3,0-9,0-9
yinwihib,ينوهب,ينوهب,True,8,5,0-9,0-9
raas 2il3abid,راس العبد,راس العبد,True,13,9,10-19,0-9
2inlatt,انلط,انلط,True,7,4,0-9,0-9
ghadwe,غدوة,غدوة,True,6,4,0-9,0-9
kidd,كد,كد,True,4,2,0-9,0-9
2it7alla,اتحلى,اتحلى,True,8,5,0-9,0-9
muuqad,موقد,مقود,False,6,4,0-9,0-9
shawwaata,شواطة,شواطة,True,9,5,0-9,0-9
ratt,رط,رت,False,4,2,0-9,0-9
yikhtisir,يختصر,يختصر,True,9,5,0-9,0-9
yfassil,يفصل,يفصل,True,7,4,0-9,0-9
suur,ثور,سور,False,4,3,0-9,0-9
sab3an,سبعن,صبعن,False,6,4,0-9,0-9
daawa,داوى,داوى,True,5,4,0-9,0-9
mawaa3iid,مواعيد,مواعيد,True,9,6,0-9,0-9
nabbah,نبه,نبه,True,6,3,0-9,0-9
tarab,طرب,طرب,True,5,3,0-9,0-9
barshe,برشة,برشة,True,6,4,0-9,0-9
shoosha7a,شوشحة,شوشاح,False,9,5,0-9,0-9
2iddabbal,اتذبل,تدبل,False,9,5,0-9,0-9
sh7uuf,شحوف,شحوف,True,6,4,0-9,0-9
naafiz,نافذ,نافذ,True,6,4,0-9,0-9
msharram,مشرم,مشرم,True,8,4,0-9,0-9
tasdiir,تصدير,تصدير,True,7,5,0-9,0-9
talaa2i3,طلائع,تلائع,False,8,5,0-9,0-9
tiijaan,تيجان,تيجان,True,7,5,0-9,0-9
2ighdab,اغضب,اغضب,True,7,4,0-9,0-9
7awwit,حوط,حوط,True,6,3,0-9,0-9
ma3aarik,معارك,معارك,True,8,5,0-9,0-9
hammil,همل,همل,True,6,3,0-9,0-9
tanaatiir,طناطير,تناطير,False,9,6,0-9,0-9
tabaashi,طباشي,طباشي,True,8,5,0-9,0-9
ybaghghil,يبغل,يبغل,True,9,4,0-9,0-9
diikoor,ديكور,ديكور,True,7,5,0-9,0-9
tlaghmat,تلغمط,تلغمط,True,8,5,0-9,0-9
saqqaf,ثقف,سقف,False,6,3,0-9,0-9
hajjin,هجن,هجن,True,6,3,0-9,0-9
talmii7,تلميح,تلميح,True,7,5,0-9,0-9
dbii7it 2ilkhumsaan,ذبيحة الخمسان,بدحة المناشك,False,19,13,10-19,10-19
ja3a,جعى,جعى,True,4,3,0-9,0-9
balaalii3,بلاليع,بلاليع,True,9,6,0-9,0-9
maqaadi,مقاضي,مقادي,False,7,5,0-9,0-9
jakhaamiish,جخاميش,جخاميش,True,11,6,10-19,0-9
maashi 3abeed,ماشي عبيض,ماش عبيد,False,13,9,10-19,0-9
faasle,فاصلة,فاصلة,True,6,5,0-9,0-9
nakhkh,نخ,نخ,True,6,2,0-9,0-9
du7ke,ضحكة,ضحكة,True,5,4,0-9,0-9
sqiife,سقيفة,سقيفة,True,6,5,0-9,0-9
2urbus,اربص,اربص,True,6,4,0-9,0-9
baghil,بغل,بغل,True,6,3,0-9,0-9
ykhaarij,يخارج,يخارج,True,8,5,0-9,0-9
m7azzame,محزمة,محزمة,True,8,5,0-9,0-9
tabbab,طبب,طبب,True,6,3,0-9,0-9
2istahlak,استهلك,استهلك,True,9,6,0-9,0-9
7iyaad,حياد,حياد,True,6,4,0-9,0-9
3amar,عمر,عمر,True,5,3,0-9,0-9
daafuukh,دافوخ,دافوخ,True,8,5,0-9,0-9
z3eetmaan,زعيتمان,زعيتمان,True,9,7,0-9,0-9
jaawar,جاور,جاور,True,6,4,0-9,0-9
daafuur,دافور,دافور,True,7,5,0-9,0-9
2it7arrak,اتحرك,اتحرك,True,9,5,0-9,0-9
balba7a,بلبحة,بلبحة,True,7,5,0-9,0-9
yinqirid,ينقرض,ينقرض,True,8,5,0-9,0-9
shaghab,شغب,شغب,True,7,3,0-9,0-9
2abqaar,أبقار,أبقار,True,7,5,0-9,0-9
banaadiiqk,بناديق,بناديق,True,10,6,10-19,0-9
wa7iid 2ahlo,وحيد أهله,وحيد أهلو,False,12,9,10-19,0-9
tamriir,تمرير,تمرير,True,7,5,0-9,0-9
yitmattar,يتمتر,يتمتر,True,9,5,0-9,0-9
3aqlaato 3ala batte wunuss,عقلاته على بتة ونص,عقلت طعت بوسلانه,False,26,18,20-29,10-19
msarsab,مسرسب,مسرسب,True,7,5,0-9,0-9
fassakh,فسخ,فسخ,True,7,3,0-9,0-9
2ista7lif,استحلف,استحلف,True,9,6,0-9,0-9
2itlaghgham,اتلغم,اتلغم,True,11,5,10-19,0-9
2a7daan,أحضان,أحدان,False,7,5,0-9,0-9
