source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket,source_column
تَِقْهَوَى,tqahwatgahwa,tqahwa2itgahwa,False,10,12,10-19,10-19,levanti_harakat_prediction
لَا رَقِيْب وَلَا حَسِيْب,laa raqiib wala 7asiib,laa raqi bil7asabi,False,25,22,20-29,20-29,levanti_harakat_prediction
اعْتَقَد,2i3taqad,2i3taqid,False,8,8,0-9,0-9,levanti_harakat_prediction
جَاع,jaa3,jaa3,True,4,4,0-9,0-9,levanti_harakat_prediction
يَقْنَع,yiqni3,yqanni3,False,7,6,0-9,0-9,levanti_harakat_prediction
اِسْتَضْرَط,2istadrit,2istadrat,False,11,9,10-19,0-9,levanti_harakat_prediction
يِتِفّ,ytiff,ytiff,True,6,5,0-9,0-9,levanti_harakat_prediction
كِلْمِة,kilme,kalme,False,7,5,0-9,0-9,levanti_harakat_prediction
إِنْعَاش,2in3aash,2in3aash,True,8,8,0-9,0-9,levanti_harakat_prediction
بُوْشِة مِلِح,booshit mili7,booshit mil7a,False,13,13,10-19,10-19,levanti_harakat_prediction
تَنَاسُل,tnaasal,tnaasal,True,8,7,0-9,0-9,levanti_harakat_prediction
ذَهَب,zahab,dahhib,False,5,5,0-9,0-9,levanti_harakat_prediction
تْنَصَّل,tnassal,tnassal,True,8,7,0-9,0-9,levanti_harakat_prediction
اِنْغَزّ,2unghuz,2inghazz,False,8,7,0-9,0-9,levanti_harakat_prediction
مطْبَع,mtabbi3,mtabbi3,True,6,7,0-9,0-9,levanti_harakat_prediction
زِيَارَة,ziyaara,ziyaara,True,8,7,0-9,0-9,levanti_harakat_prediction
حلِق,7allaq,7alliq,False,4,6,0-9,0-9,levanti_harakat_prediction
خِدِر,khaddir,khaddir,True,5,7,0-9,0-9,levanti_harakat_prediction
مْشَفْشِف,mshafshaf,mshafshif,False,9,9,0-9,0-9,levanti_harakat_prediction
اِخْتَشَى,2ikhtishi,2ikhtasha,False,9,9,0-9,0-9,levanti_harakat_prediction
أَقْتَب,2aqtab,2aqtab,True,7,6,0-9,0-9,levanti_harakat_prediction
تَقَارِيْر,taqaariir,taqaariir,True,10,9,10-19,0-9,levanti_harakat_prediction
زُكَام,zukaam,zukaam,True,6,6,0-9,0-9,levanti_harakat_prediction
مْكَمِّل,mkammil,mkammil,True,8,7,0-9,0-9,levanti_harakat_prediction
تُوتُوْت,twatwat,twatwat,True,8,7,0-9,0-9,levanti_harakat_prediction
مْشَرِّش,msharrish,msharrish,True,8,9,0-9,0-9,levanti_harakat_prediction
حَدَّادِة,7daade,7addaade,False,9,6,0-9,0-9,levanti_harakat_prediction
مْفبْرَك,mfabrak,mfabrik,False,8,7,0-9,0-9,levanti_harakat_prediction
خَان العَشَرَة,khaan 2il3ishre,khaan 2il3ishra,False,14,15,10-19,10-19,levanti_harakat_prediction
مْحَذِّر,m7azzir,m7azzir,True,8,7,0-9,0-9,levanti_harakat_prediction
طَلْهِينَة,talhiine,talhiine,True,10,8,10-19,0-9,levanti_harakat_prediction
تِلْقُوج,tlaqwaj,tlaqwaj,True,8,7,0-9,0-9,levanti_harakat_prediction
عَبَْلَاطَة,3a blata,3ablata,False,11,8,10-19,0-9,levanti_harakat_prediction
بْغَمْضِة عِيْن,bighamdit 3een,bghamdit 3eeni,False,15,14,10-19,10-19,levanti_harakat_prediction
مَذَابِح,madaabi7,madaabi7,True,8,8,0-9,0-9,levanti_harakat_prediction
مِن رِيحَة,min rii7it,min raya7,False,10,10,10-19,10-19,levanti_harakat_prediction
تْلِيف,tlayyaf,tlayyaf,True,6,7,0-9,0-9,levanti_harakat_prediction
أَوَادِم,2awaadim,2awaadim,True,8,8,0-9,0-9,levanti_harakat_prediction
مِنوْقِر,mnooqir,mnooqir,True,8,7,0-9,0-9,levanti_harakat_prediction
قَرْصَة,qarsa,qarsa,True,7,5,0-9,0-9,levanti_harakat_prediction
عَطِب,3attab,3attib,False,5,6,0-9,0-9,levanti_harakat_prediction
عَسَلِي,3asali,3asali,True,7,6,0-9,0-9,levanti_harakat_prediction
نَمِيْمِة,namiime,namiime,True,9,7,0-9,0-9,levanti_harakat_prediction
بَسَابِيس,basaabiis,basaabiis,True,9,9,0-9,0-9,levanti_harakat_prediction
نِيْل,niil,nayyal,False,5,4,0-9,0-9,levanti_harakat_prediction
خَيْر,khayyar,khayyar,True,5,7,0-9,0-9,levanti_harakat_prediction
قَبِّة,qubbe,qabbe,False,6,5,0-9,0-9,levanti_harakat_prediction
شْفَيْع,shafii3,shafii3,True,7,7,0-9,0-9,levanti_harakat_prediction
يِغْرَق,yighraq,ygharriq,False,7,7,0-9,0-9,levanti_harakat_prediction
اِتْغَابِى,2itghaaba,2itghaaba,True,10,9,10-19,0-9,levanti_harakat_prediction
رَكَض,rakad,rakkad,False,5,5,0-9,0-9,levanti_harakat_prediction
لَقَّف,laqaf,laqqaf,False,6,5,0-9,0-9,levanti_harakat_prediction
تَعَارِيف,ta3aariif,ta3aariif,True,9,9,0-9,0-9,levanti_harakat_prediction
يْشخِت,yishkhat,yishkhat,True,6,8,0-9,0-9,levanti_harakat_prediction
اِرأَس,2ir2as,2ir2as,True,6,6,0-9,0-9,levanti_harakat_prediction
اِتْمَسَّك,2itmassak,2itmassak,True,10,9,10-19,0-9,levanti_harakat_prediction
هَذْرَب,hadhrib,hadhrab,False,7,7,0-9,0-9,levanti_harakat_prediction
اِتْخَوْنِق,2itkhoona2,2itkhoona2,True,11,10,10-19,10-19,levanti_harakat_prediction
رَقَص,raqas,raqqis,False,5,5,0-9,0-9,levanti_harakat_prediction
إِيْدُه وَالْكَفّ,2iido wilkaf,2iido waalak fiik,False,17,12,10-19,10-19,levanti_harakat_prediction
خَوَيْتْمِة,khweetme,khooyatme,False,11,8,10-19,0-9,levanti_harakat_prediction
طَنّش,tannish,tannish,True,5,7,0-9,0-9,levanti_harakat_prediction
خَافِق,khaafi2,khaafiq,False,6,7,0-9,0-9,levanti_harakat_prediction
سبَرْدَحَة,sabarda7a,sabrada7a,False,10,9,10-19,0-9,levanti_harakat_prediction
دَوَاهِي,dawaahi,dawaahi,True,8,7,0-9,0-9,levanti_harakat_prediction
اعْلُو,2i3lu,2i3lu,True,6,5,0-9,0-9,levanti_harakat_prediction
يِتْنَافَس,yitnaafas,yitnaafas,True,10,9,10-19,0-9,levanti_harakat_prediction
اُوْشِم,2uushim,2uushim,True,7,7,0-9,0-9,levanti_harakat_prediction
يِتْنَمَّر,yitnammar,yitnammar,True,10,9,10-19,0-9,levanti_harakat_prediction
دْمُوع الفَرَح,dmuu3 2ilfara7,dammuu3 2ilfara7,False,14,14,10-19,10-19,levanti_harakat_prediction
أَبُو نُصّ لْسَان,2abu nuss lsaan,2abu nuss 2il2unnnas,False,17,15,10-19,10-19,levanti_harakat_prediction
يْثُوْر,ysuur,ythawwir,False,7,5,0-9,0-9,levanti_harakat_prediction
بْرُود,buruud,bruud,False,6,6,0-9,0-9,levanti_harakat_prediction
يِتْزَيَّن,yitzayyan,yitzayyan,True,10,9,10-19,0-9,levanti_harakat_prediction
يِرْتَدّ,yirtadd,yirtadd,True,8,7,0-9,0-9,levanti_harakat_prediction
قْطُوم,qattuum,qtuum,False,6,7,0-9,0-9,levanti_harakat_prediction
رَمَادِي,ramaadi,ramaadi,True,8,7,0-9,0-9,levanti_harakat_prediction
يِلَقَّب,ylaqqib,ylaqqib,True,8,7,0-9,0-9,levanti_harakat_prediction
يِجَلْغِف,ydjalghif,yjalghif,False,9,9,0-9,0-9,levanti_harakat_prediction
إِعْجَاز,2i3jaaz,2i3jaaz,True,8,7,0-9,0-9,levanti_harakat_prediction
رَبْرَب,rabrib,rabrab,False,7,6,0-9,0-9,levanti_harakat_prediction
مَقْبُوْل,maqbuul,maqbuul,True,9,7,0-9,0-9,levanti_harakat_prediction
مزَْعِّل,mza33il,mza33il,True,8,7,0-9,0-9,levanti_harakat_prediction
تَلَطَِّيش,taltiish,taltatiish,False,10,8,10-19,0-9,levanti_harakat_prediction
اِتْقَبَّص,yitqabbas,2itqabbas,False,10,9,10-19,0-9,levanti_harakat_prediction
اِتْوَاطَى,2itwaata,2itwaata,True,10,8,10-19,0-9,levanti_harakat_prediction
اَعْلَق,2i3laq,2i3laq,True,7,6,0-9,0-9,levanti_harakat_prediction
كَبَابِيت,kabaabiit,kabaabiit,True,9,9,0-9,0-9,levanti_harakat_prediction
اِصْقِلّ,2isqil,2usqul,False,8,6,0-9,0-9,levanti_harakat_prediction
مِنِشكِح,minshiki7,mnakshi7,False,8,9,0-9,0-9,levanti_harakat_prediction
وَصْلِة,wasle,wasle,True,7,5,0-9,0-9,levanti_harakat_prediction
رِيَاح,2iriyaa7,riyaa7,False,6,8,0-9,0-9,levanti_harakat_prediction
حِكَّايِة,7kaaye,7ikkaaye,False,9,6,0-9,0-9,levanti_harakat_prediction
ضَرْط,darat,darrit,False,5,5,0-9,0-9,levanti_harakat_prediction
طَقْطَق,taqtiq,taqtaq,False,7,6,0-9,0-9,levanti_harakat_prediction
آزِر,2aazir,2aazar,False,4,6,0-9,0-9,levanti_harakat_prediction
يِزَقْرِق,yzaqriq,yzaqriq,True,9,7,0-9,0-9,levanti_harakat_prediction
نِكرَة,nakira,nakra,False,6,6,0-9,0-9,levanti_harakat_prediction
تْفَخْفِخ,tfakhfakh,tfakhfakh,True,9,9,0-9,0-9,levanti_harakat_prediction
عَدِم عَقْلُه,3adam 3aqlo,3adim 3aqlo,False,13,11,10-19,10-19,levanti_harakat_prediction
عَضُو,3udu,3adu,False,5,4,0-9,0-9,levanti_harakat_prediction
يِجْسِم,yjassim,yijsim,False,7,7,0-9,0-9,levanti_harakat_prediction
تَعَايُش,ta3aayush,t3aayash,False,8,9,0-9,0-9,levanti_harakat_prediction
يِنْحَش,yin7ashsh,yin7ashsh,True,7,9,0-9,0-9,levanti_harakat_prediction
اِتْوَالَف,2itwaalaf,2itwaalaf,True,10,9,10-19,0-9,levanti_harakat_prediction
تِعْلَب,t3allab,t3allab,True,7,7,0-9,0-9,levanti_harakat_prediction
نَقِي,naqi,naqi,True,5,4,0-9,0-9,levanti_harakat_prediction
برُوس,broos,bruus,False,5,5,0-9,0-9,levanti_harakat_prediction
عِتْمِة,3atme,3itme,False,7,5,0-9,0-9,levanti_harakat_prediction
قرْمز,qarmaz,qarmiz,False,5,6,0-9,0-9,levanti_harakat_prediction
جِلْدُه مْكَلْكَل,jildo mkalkil,jildo makil,False,17,13,10-19,10-19,levanti_harakat_prediction
طَرْطُوشِة,tartuushe,tartuushe,True,10,9,10-19,0-9,levanti_harakat_prediction
يُقْحُف,yiqk7af,yiqk7af,True,7,7,0-9,0-9,levanti_harakat_prediction
يَقِنَش,yqkannish,yqkannish,True,7,9,0-9,0-9,levanti_harakat_prediction
سَدُّوْرَة,sduura,saduura,False,10,6,10-19,0-9,levanti_harakat_prediction
تَفْكِيك,tafkiik,tafkiik,True,8,7,0-9,0-9,levanti_harakat_prediction
يِبوْبَِع,yboobi3,yboobi3,True,9,7,0-9,0-9,levanti_harakat_prediction
يِنْغَم,yinghamm,yinghamm,True,7,8,0-9,0-9,levanti_harakat_prediction
شَيْمِل,sheemil,sheemil,True,7,7,0-9,0-9,levanti_harakat_prediction
خَسّ,khiss,khass,False,4,5,0-9,0-9,levanti_harakat_prediction
أَسوَأ,2aswa2,2aswa2,True,6,6,0-9,0-9,levanti_harakat_prediction
يِسْحَب,ysa77ib,yis7ab,False,7,7,0-9,0-9,levanti_harakat_prediction
جْعِيْدِة,dju3eede,j3iide,False,9,8,0-9,0-9,levanti_harakat_prediction
شَخْصِيِّة,shakhsiyye,shakhsiyye,True,10,10,10-19,10-19,levanti_harakat_prediction
تِمْلَح,tmalla7,tmalla7,True,7,7,0-9,0-9,levanti_harakat_prediction
مِبْهِج,mibhij,mbahhij,False,7,6,0-9,0-9,levanti_harakat_prediction
يِنْخِطِف,yinkhitif,yinkhitif,True,9,9,0-9,0-9,levanti_harakat_prediction
مْحَيْرِن,m7ayrin,m7ayrin,True,9,7,0-9,0-9,levanti_harakat_prediction
شَايِذ,shaayidh,shaayidh,True,6,8,0-9,0-9,levanti_harakat_prediction
بَقَرِّ,baqqir,baqqar,False,7,6,0-9,0-9,levanti_harakat_prediction
لَا شَغْلِة وَلَا مْشَغَّلِة,laa shaghle wlaa mashghale,laa ghashale wila maghala,False,28,26,20-29,20-29,levanti_harakat_prediction
اِتْكَور,2itkawwar,2itkawwar,True,8,9,0-9,0-9,levanti_harakat_prediction
مُعَارِض,m3aarid,mu3aarid,False,8,7,0-9,0-9,levanti_harakat_prediction
يِيّ عَلَيْه,yii 3alee,yii 3ale,False,12,9,10-19,0-9,levanti_harakat_prediction
أَفَخّ,2afkh,2afakh,False,6,5,0-9,0-9,levanti_harakat_prediction
درْن,darrin,darrin,True,4,6,0-9,0-9,levanti_harakat_prediction
مِتْعَجْرِف,muta3ajrif,mit3ajrif,False,11,10,10-19,10-19,levanti_harakat_prediction
مَلْهُوْف,malhuuf,malhuuf,True,9,7,0-9,0-9,levanti_harakat_prediction
نَكَّاشِة ذِنِيْن,nakkaashit dineen,nakkaashit ziniyye,False,17,17,10-19,10-19,levanti_harakat_prediction
تنَاقَر,tnaaqar,tnaaqar,True,7,7,0-9,0-9,levanti_harakat_prediction
تْطَفَّل,2ittaffal,ttatfal,False,8,9,0-9,0-9,levanti_harakat_prediction
تَعَاوُن,ta3aawun,t3aawan,False,8,8,0-9,0-9,levanti_harakat_prediction
مْحَقّ,ma7aq,ma77iq,False,6,5,0-9,0-9,levanti_harakat_prediction
جُرُن,djurun,jarrin,False,5,6,0-9,0-9,levanti_harakat_prediction
شَرَايِط,sharaayit,sharaayit,True,8,9,0-9,0-9,levanti_harakat_prediction
يِفْرُش,yfarrish,yifrish,False,7,8,0-9,0-9,levanti_harakat_prediction
مِنْخُل,munkhul,munkhal,False,7,7,0-9,0-9,levanti_harakat_prediction
تْجَدِّد,tjaddad,tjaddad,True,8,7,0-9,0-9,levanti_harakat_prediction
يجَارِي,yjaari,yjaari,True,7,6,0-9,0-9,levanti_harakat_prediction
يْحَمِّس,y7ammis,y7ammis,True,8,7,0-9,0-9,levanti_harakat_prediction
وِجْهُه مِثِل قَاع الطَّنْجَرَة,wijho mitil qaa3 2ittanjara,wijho mitil 2il3ajraqa,False,31,27,30-39,20-29,levanti_harakat_prediction
سَبَّاك,sabbaak,sabbaak,True,7,7,0-9,0-9,levanti_harakat_prediction
اِمْعَط,2im3at,2im3at,True,7,6,0-9,0-9,levanti_harakat_prediction
طَفش,tafash,taffish,False,4,6,0-9,0-9,levanti_harakat_prediction
يِتْعَنْطَز,yit3antaz,yit3antaz,True,11,9,10-19,0-9,levanti_harakat_prediction
نْكوف,nkuuf,nakwaf,False,5,5,0-9,0-9,levanti_harakat_prediction
مَسْطُوْم,mastuum,mastuum,True,9,7,0-9,0-9,levanti_harakat_prediction
إِذَا حَظَّك عِظَام قُِرْقُطُه,2idha 7azzak 3daam qariqto,2iza 7aak 3addaaro miqtur,False,30,26,30-39,20-29,levanti_harakat_prediction
التَّفَح,2iltafa7,2iltifi7,False,8,8,0-9,0-9,levanti_harakat_prediction
تْكَدُّس,tkaddas,tkaddas,True,8,7,0-9,0-9,levanti_harakat_prediction
يِنْخِبِط,yinkhibit,yinkhibit,True,9,9,0-9,0-9,levanti_harakat_prediction
نِيْك,niik,nayyak,False,5,4,0-9,0-9,levanti_harakat_prediction
خَطَيْتِي بْرَقْبْتَك,khatiiti braqibtak,khateet biqartak,False,21,18,20-29,10-19,levanti_harakat_prediction
يِتْسَابَق,yitsaabaq,yitsaabaq,True,10,9,10-19,0-9,levanti_harakat_prediction
طَاقِق شُرْش الْحَيَاء,taaqiq shirsh 2il7aya,taaqiq shurshaa2 l7ee7a2i,False,22,21,20-29,20-29,levanti_harakat_prediction
زَيّ,ziyy,ziyy,True,4,4,0-9,0-9,levanti_harakat_prediction
مَالِح,maali7,maali7,True,6,6,0-9,0-9,levanti_harakat_prediction
مُفَكِّر,mfakkir,mfakkir,True,8,7,0-9,0-9,levanti_harakat_prediction
اِحْتَشَم,2i7tashim,2i7tasham,False,9,9,0-9,0-9,levanti_harakat_prediction
كِيف,kayyaf,kiif,False,4,6,0-9,0-9,levanti_harakat_prediction
أَجْوَاء,2ajwaa2,2ajwaa2,True,8,7,0-9,0-9,levanti_harakat_prediction
يِكَافِح,ykaafi7,ykaafi7,True,8,7,0-9,0-9,levanti_harakat_prediction
اِبْخَع,2ibkha3,2ibkha3,True,7,7,0-9,0-9,levanti_harakat_prediction
اتِسّكُوح,2itsatshwa7,2itsakwa7,False,9,11,0-9,10-19,levanti_harakat_prediction
يِشْقَلِب,yshaqlib,yshaqlib,True,9,8,0-9,0-9,levanti_harakat_prediction
مِنَح,manni7,mana7,False,5,6,0-9,0-9,levanti_harakat_prediction
أَنْت,2anta,2ant,False,5,5,0-9,0-9,levanti_harakat_prediction
بَكَّاش,bakkaash,bakkaash,True,7,8,0-9,0-9,levanti_harakat_prediction
تَسْرِيب,tasriib,tasriib,True,8,7,0-9,0-9,levanti_harakat_prediction
إِبْرِيْق,2ibriiq,2ibriiq,True,9,7,0-9,0-9,levanti_harakat_prediction
يِتْقَنِع,yitqanna3,yitqanna3,True,9,9,0-9,0-9,levanti_harakat_prediction
مَخْزُوْق,makhzuuq,makhzuuq,True,9,8,0-9,0-9,levanti_harakat_prediction
صَارُوْخِي,saaruukhi,saaruukhi,True,10,9,10-19,0-9,levanti_harakat_prediction
كَثَافِة,kasaafe,kassaafe,False,8,7,0-9,0-9,levanti_harakat_prediction
يِفْصَح,yfassi7,yifsa7,False,7,7,0-9,0-9,levanti_harakat_prediction
مزَابِل,mazaabil,mzaabil,False,7,8,0-9,0-9,levanti_harakat_prediction
لَمَس,lammis,lammas,False,5,6,0-9,0-9,levanti_harakat_prediction
مِرْبِح,marba7,mrabbi7,False,7,6,0-9,0-9,levanti_harakat_prediction
عَِرْقُه مَرْقُه,3araqo maraqo,3araqo mro,False,16,13,10-19,10-19,levanti_harakat_prediction
جْرُوْب,gruub,jruub,False,7,5,0-9,0-9,levanti_harakat_prediction
مْبَعْجَر,mba3jir,mba3jar,False,9,7,0-9,0-9,levanti_harakat_prediction
يِكْرَم,ykarrim,yikram,False,7,7,0-9,0-9,levanti_harakat_prediction
يِقْتِصِد,yiqtisid,yiqtisid,True,9,8,0-9,0-9,levanti_harakat_prediction
هَاي وِجْهِي,haay wijhi,haayi wijhi,False,12,10,10-19,10-19,levanti_harakat_prediction
بْرَوِّش,broosh,barwish,False,8,6,0-9,0-9,levanti_harakat_prediction
يعْرُط,y3arrit,y3arrit,True,6,7,0-9,0-9,levanti_harakat_prediction
حِفِي,7ifi,7affi,False,5,4,0-9,0-9,levanti_harakat_prediction
ذْبل,dabbal,dabbil,False,4,6,0-9,0-9,levanti_harakat_prediction
عَطَّال بَطَّال,3attaal battaal,3attaal baal,False,15,15,10-19,10-19,levanti_harakat_prediction
كِزْدَر,kazdir,kazdar,False,7,6,0-9,0-9,levanti_harakat_prediction
نِهَائِي,nihaa2i,nihaa2i,True,8,7,0-9,0-9,levanti_harakat_prediction
زَوْبَعَة الْأَبْيَض,zooba3a 2il2abyad,zooba3a 2il2ayb,False,20,17,20-29,10-19,levanti_harakat_prediction
قَلِب,qalb,qallib,False,5,4,0-9,0-9,levanti_harakat_prediction
يِشْبِك,yshabbik,yshabbik,True,7,8,0-9,0-9,levanti_harakat_prediction
بَرَاوِيز,baraawiiz,baraawiiz,True,9,9,0-9,0-9,levanti_harakat_prediction
مَظَاهِر,mazaahir,mazaahir,True,8,8,0-9,0-9,levanti_harakat_prediction
يْشَنْشِل,yshanshil,yshanshil,True,9,9,0-9,0-9,levanti_harakat_prediction
قَوَانِيْن,qawaaniin,qawaaniin,True,10,9,10-19,0-9,levanti_harakat_prediction
زَكِم,zakkam,zakam,False,5,6,0-9,0-9,levanti_harakat_prediction
يَعْجَز,yi3jaz,y3ajjiz,False,7,6,0-9,0-9,levanti_harakat_prediction
حَوْحِي,7oo7i,7awa7i,False,7,5,0-9,0-9,levanti_harakat_prediction
يَنْرَوِي,yinriwi,yinriwi,True,9,7,0-9,0-9,levanti_harakat_prediction
يِتْسَلَّل,yitsallal,yitsallal,True,10,9,10-19,0-9,levanti_harakat_prediction
دفُور,dfuur,dfuur,True,5,5,0-9,0-9,levanti_harakat_prediction
بَلَغ,balligh,balligh,True,5,7,0-9,0-9,levanti_harakat_prediction
قَرْطَلِة,qirtalle,qartale,False,9,8,0-9,0-9,levanti_harakat_prediction
اعْفص,2u3fus,2i3fis,False,5,6,0-9,0-9,levanti_harakat_prediction
عِرِف,3urf,3arrif,False,5,4,0-9,0-9,levanti_harakat_prediction
تَفْسِيْر,tafsiir,tafsiir,True,9,7,0-9,0-9,levanti_harakat_prediction
حَمش,7amash,7ammish,False,4,6,0-9,0-9,levanti_harakat_prediction
اِتْنَعَّم,2itna33am,2itna33am,True,10,9,10-19,0-9,levanti_harakat_prediction
يِسْخَى,yiskha,yiskha,True,7,6,0-9,0-9,levanti_harakat_prediction
يِنْكِفِت,yinkifit,yinkifit,True,9,8,0-9,0-9,levanti_harakat_prediction
يَقُول,yquul,yqawwil,False,6,5,0-9,0-9,levanti_harakat_prediction
يِحْتَحِت,y7at7it,yi7ti7it,False,9,7,0-9,0-9,levanti_harakat_prediction
يِْفَضْفِض,yfadfid,yfadfid,True,10,7,10-19,0-9,levanti_harakat_prediction
يِشْلبَك,yshalbik,yshalbik,True,8,8,0-9,0-9,levanti_harakat_prediction
اِنْكَبّ,2inkabb,2inkabb,True,8,7,0-9,0-9,levanti_harakat_prediction
نِسِي,nassi,nassi,True,5,5,0-9,0-9,levanti_harakat_prediction
بَطْنُه دَرْبَكِة,batno diribakke,batno darbak,False,17,15,10-19,10-19,levanti_harakat_prediction
عِشْرِيْن,3ishriin,3ashriin,False,9,8,0-9,0-9,levanti_harakat_prediction
دَلّهُم,dalhim,dalham,False,7,6,0-9,0-9,levanti_harakat_prediction
اِتْغَدَّى,2itghadda,2itghadda,True,10,9,10-19,0-9,levanti_harakat_prediction
أَصِل,2assal,2assil,False,5,6,0-9,0-9,levanti_harakat_prediction
يَوْخَر,ywakhkhir,ywakhkhir,True,7,9,0-9,0-9,levanti_harakat_prediction
تْخَوث,tkhawwat,tkhawwat,True,6,8,0-9,0-9,levanti_harakat_prediction
مْكَحْكَح,mka7ki7,mka7ki7,True,9,7,0-9,0-9,levanti_harakat_prediction
مْنَجّهَاتْلَّك,mindjahaatlak,munjahaatak,False,15,13,10-19,10-19,levanti_harakat_prediction
يِصَدَّع,ysaddi3,ysaddi3,True,8,7,0-9,0-9,levanti_harakat_prediction
رَطِل,rattal,rattil,False,5,6,0-9,0-9,levanti_harakat_prediction
يْؤَشِّر,y2ashshir,y2ashshir,True,8,9,0-9,0-9,levanti_harakat_prediction
حَبِّة شَامِة,7abbit shaame,7abbit shaame,True,13,13,10-19,10-19,levanti_harakat_prediction
قِدِر,qadar,qaddir,False,5,5,0-9,0-9,levanti_harakat_prediction
اُرْبُط لْسَانَك مْلِيح لَابِيدْمِي وَلَا بِيقَيِّح,2irbot lsaanak mlii7 laa bidmi wala biqii7,2irbut 2isliid ma7 biquun laak liida bi7,False,51,42,50-59,40-49,levanti_harakat_prediction
مَطْبَخ,matbakh,mtabbikh,False,7,7,0-9,0-9,levanti_harakat_prediction
يِدَلْبِح,ydalbi7,ydalbi7,True,9,7,0-9,0-9,levanti_harakat_prediction
مْسَكّنِة,maskane,maskane,True,9,7,0-9,0-9,levanti_harakat_prediction
مْصَوَّر,musawwir,msawwir,False,8,8,0-9,0-9,levanti_harakat_prediction
أَرْبَعَاء,2arbi3aa2,2arba3aa2,False,10,9,10-19,0-9,levanti_harakat_prediction
محْرَمِة,ma7rame,ma7rame,True,8,7,0-9,0-9,levanti_harakat_prediction
مْغَادِر,mghaadir,mughaadir,False,8,8,0-9,0-9,levanti_harakat_prediction
خَوْن,khawwan,khawwin,False,5,7,0-9,0-9,levanti_harakat_prediction
يِرْدِم,yurdum,yirdum,False,7,6,0-9,0-9,levanti_harakat_prediction
تِبْكُت,tbakkat,tbakkat,True,7,7,0-9,0-9,levanti_harakat_prediction
بُنَانِي,banaani,banaani,True,8,7,0-9,0-9,levanti_harakat_prediction
شَقِّة,shaqqa,shuqqa,False,6,6,0-9,0-9,levanti_harakat_prediction
ثَعْبِة,tha3be,sa3be,False,7,6,0-9,0-9,levanti_harakat_prediction
لَاسِع,laasi3,laasi3,True,6,6,0-9,0-9,levanti_harakat_prediction
اِزْغَل,2izghil,2izghal,False,7,7,0-9,0-9,levanti_harakat_prediction
